days_since_start,avg_tone,total_events,period
-9,-1.9916,239,2015 Blockade
-8,-2.1895,419,2015 Blockade
-7,-2.4576,374,2015 Blockade
-7,-1.2954,221,2025 Gen-Z Protest
-6,-2.8663,402,2015 Blockade
-6,-1.4363,184,2025 Gen-Z Protest
-5,-3.4133,459,2015 Blockade
-5,-0.3253,272,2025 Gen-Z Protest
-4,-1.7775,465,2015 Blockade
-4,-1.3179,299,2025 Gen-Z Protest
-3,-1.4304,485,2015 Blockade
-3,-1.8522,233,2025 Gen-Z Protest
-2,-2.3241,391,2015 Blockade
-2,0.5569,188,2025 Gen-Z Protest
-1,-1.7916,586,2015 Blockade
-1,-1.6002,172,2025 Gen-Z Protest
0,-3.6907,811,2015 Blockade
0,-7.6609,675,2025 Gen-Z Protest
1,-4.6961,931,2015 Blockade
1,-8.1429,2370,2025 Gen-Z Protest
2,-2.6956,717,2015 Blockade
2,-5.9853,1944,2025 Gen-Z Protest
3,-2.4439,551,2015 Blockade
3,-4.7834,1653,2025 Gen-Z Protest
4,-2.1038,544,2015 Blockade
4,-4.6002,1395,2025 Gen-Z Protest
5,-1.9468,229,2015 Blockade
5,-2.8716,895,2025 Gen-Z Protest
6,-2.4242,268,2015 Blockade
6,-3.4076,685,2025 Gen-Z Protest
7,-2.4693,426,2015 Blockade
7,-4.309,563,2025 Gen-Z Protest
8,-4.193,431,2015 Blockade
8,-5.0717,466,2025 Gen-Z Protest
9,-3.2728,572,2015 Blockade
9,-2.3078,354,2025 Gen-Z Protest
10,-2.4024,383,2015 Blockade
10,-1.4195,395,2025 Gen-Z Protest
11,-1.9672,459,2015 Blockade
11,-1.7149,497,2025 Gen-Z Protest
12,-2.4814,304,2015 Blockade
12,-3.3307,128,2025 Gen-Z Protest
13,-2.364,238,2015 Blockade
13,-1.8293,222,2025 Gen-Z Protest
14,-3.1354,465,2015 Blockade
14,-1.5595,252,2025 Gen-Z Protest
15,-2.6583,595,2015 Blockade
15,-1.0647,221,2025 Gen-Z Protest
16,-3.0221,1061,2015 Blockade
16,-2.4574,253,2025 Gen-Z Protest
17,-3.3071,822,2015 Blockade
17,-4.2233,239,2025 Gen-Z Protest
18,-3.2526,704,2015 Blockade
18,-2.7812,270,2025 Gen-Z Protest
19,-2.9357,460,2015 Blockade
19,-4.9496,140,2025 Gen-Z Protest
20,-3.0518,431,2015 Blockade
20,-4.0509,137,2025 Gen-Z Protest
21,-2.752,566,2015 Blockade
21,-4.0615,167,2025 Gen-Z Protest
22,-2.3704,562,2015 Blockade
22,-2.9779,147,2025 Gen-Z Protest
23,-2.1378,565,2015 Blockade
23,-2.2722,176,2025 Gen-Z Protest
24,-2.8341,753,2015 Blockade
24,-1.4021,147,2025 Gen-Z Protest
25,-1.7122,733,2015 Blockade
25,-2.547,100,2025 Gen-Z Protest
26,-0.8726,455,2015 Blockade
26,-1.7706,119,2025 Gen-Z Protest
27,-1.567,694,2015 Blockade
27,-6.2266,162,2025 Gen-Z Protest
28,-2.1693,791,2015 Blockade
28,-3.603,171,2025 Gen-Z Protest
29,-2.3197,828,2015 Blockade
29,-3.9491,195,2025 Gen-Z Protest
30,-2.2355,780,2015 Blockade
30,-2.0008,184,2025 Gen-Z Protest
