event_date,avg_tone,total_events,avg_conflict_score,total_articles,rolling_avg_30d,spike_ratio,is_spike
2015-09-09,0.6199,1,0.0,5,,,
2024-09-01,1.743,9,2.7667,30,1.0,9.0,True
2024-09-04,-4.186,1,-5.0,5,5.0,0.2,False
2024-09-05,-9.0909,4,-3.325,12,3.67,1.09,False
2024-09-08,-14.1809,2,-6.5,5,3.75,0.53,False
2024-09-10,-5.2754,1,-2.0,3,3.4,0.29,False
2024-09-11,-7.5953,6,-0.1667,13,3.0,2.0,False
2024-09-12,0.0389,2,-2.0,10,3.43,0.58,False
2024-09-13,-2.137,3,5.6667,10,3.25,0.92,False
2024-09-14,0.796,6,7.0,20,3.22,1.86,False
2024-09-15,-2.6399,5,6.8,12,3.5,1.43,False
2024-09-16,-5.0026,3,9.0,9,3.64,0.82,False
2024-09-17,-0.7692,2,2.35,10,3.58,0.56,False
2024-09-18,-0.8929,2,5.0,8,3.46,0.58,False
2024-09-19,-3.9039,2,2.35,10,3.36,0.6,False
2024-09-21,-7.4074,1,-4.0,4,3.27,0.31,False
2024-09-22,-6.0411,1,-4.0,4,3.13,0.32,False
2024-09-24,-2.0534,7,1.8286,23,3.0,2.33,False
2024-09-25,-7.5756,2,-8.6,9,3.22,0.62,False
2024-09-26,-7.1792,3,-8.8,11,3.16,0.95,False
2024-09-27,-8.4977,2,-5.0,6,3.15,0.63,False
2024-09-28,-6.782,4,-0.25,6,3.1,1.29,False
2024-09-29,-8.8435,2,-5.0,10,3.14,0.64,False
2024-10-02,-1.0649,1,-2.0,2,3.09,0.32,False
2024-10-04,-2.4793,2,-10.0,5,3.0,0.67,False
2024-10-07,-6.5781,9,0.4667,26,2.96,3.04,True
2024-10-08,0.565,2,1.9,5,3.19,0.63,False
2024-10-09,-1.3514,1,1.9,5,3.15,0.32,False
2024-10-13,-6.8702,2,1.0,20,3.07,0.65,False
2024-10-14,-1.8838,1,0.4,4,3.03,0.33,False
2024-10-16,-3.6847,6,2.6,12,2.97,2.02,False
2024-10-17,0.0,2,-0.25,4,3.13,0.64,False
2024-10-21,-0.1369,2,-5.0,2,2.9,0.69,False
2024-10-29,-0.5515,1,1.9,1,2.93,0.34,False
2024-10-30,-1.7118,2,2.35,4,2.83,0.71,False
2024-10-31,-1.8233,2,2.35,4,2.83,0.71,False
2024-11-01,-1.8182,2,2.35,4,2.87,0.7,False
2024-11-02,8.3916,1,-0.3,4,2.73,0.37,False
2024-11-03,-2.3817,4,2.025,24,2.7,1.48,False
2024-11-04,-4.3187,4,1.15,16,2.73,1.47,False
2024-11-07,-1.0877,2,3.0,9,2.67,0.75,False
2024-11-09,-2.8257,4,2.35,8,2.57,1.56,False
2024-11-11,-4.0816,1,-4.0,2,2.6,0.38,False
2025-08-05,-3.4175,2,-0.5,10,2.57,0.78,False
2025-08-06,-3.1891,2,-0.5,10,2.57,0.78,False
2025-08-11,-9.894,1,-5.0,5,2.57,0.39,False
2025-08-17,-5.0952,3,0.0,15,2.57,1.17,False
2025-08-22,-4.3376,1,1.0,8,2.63,0.38,False
2025-08-25,3.1746,1,4.0,10,2.43,0.41,False
2025-08-30,0.6199,2,1.0,4,2.4,0.83,False
2025-08-31,-5.1991,4,-5.375,26,2.37,1.69,False
2025-09-01,-1.2954,221,0.7792,834,2.43,90.95,True
2025-09-02,-1.4363,184,1.0348,832,9.67,19.03,True
2025-09-03,-0.3253,272,1.5261,1039,15.73,17.29,True
2025-09-04,-1.3179,299,0.8572,1597,24.77,12.07,True
2025-09-05,-1.8522,233,0.9536,971,34.67,6.72,True
2025-09-06,0.5569,188,1.6723,991,42.13,4.46,True
2025-09-07,-1.6002,172,0.8698,988,48.33,3.56,True
2025-09-08,-7.6609,675,-3.1019,3698,54.03,12.49,True
2025-09-09,-8.1429,2370,-1.0768,11697,76.47,30.99,True
2025-09-10,-5.9853,1944,-1.159,9749,155.43,12.51,True
2025-09-11,-4.7834,1653,-0.5688,7104,220.03,7.51,True
2025-09-12,-4.6002,1395,-0.2103,5887,275.07,5.07,True
2025-09-13,-2.8716,895,0.2771,3476,321.5,2.78,False
2025-09-14,-3.4076,685,0.4108,2819,351.3,1.95,False
2025-09-15,-4.309,563,-0.0602,2679,374.07,1.51,False
2025-09-16,-5.0717,466,-0.7738,2210,392.77,1.19,False
2025-09-17,-2.3078,354,0.4311,1393,408.23,0.87,False
2025-09-18,-1.4195,395,0.3451,1490,420.0,0.94,False
2025-09-19,-1.7149,497,0.3362,1950,433.03,1.15,False
2025-09-20,-3.3307,128,-0.6164,616,449.47,0.28,False
2025-09-21,-1.8293,222,0.4405,872,453.67,0.49,False
2025-09-22,-1.5595,252,0.731,1068,460.93,0.55,False
2025-09-23,-1.0647,221,1.0674,1196,469.3,0.47,False
2025-09-24,-2.4574,253,0.5166,937,476.6,0.53,False
2025-09-25,-4.2233,239,-0.3967,1035,484.97,0.49,False
2025-09-26,-2.7812,270,0.9019,1019,492.9,0.55,False
2025-09-27,-4.9496,140,0.1086,576,501.8,0.28,False
2025-09-28,-4.0509,137,0.0022,555,506.43,0.27,False
2025-09-29,-4.0615,167,0.0186,825,510.97,0.33,False
2025-09-30,-2.9779,147,-1.2327,633,516.47,0.28,False
2025-10-01,-2.2722,176,-0.1102,803,521.23,0.34,False
2025-10-02,-1.4021,147,-0.1054,613,519.73,0.28,False
2025-10-03,-2.547,100,-0.146,427,518.5,0.19,False
2025-10-04,-1.7706,119,0.563,442,512.77,0.23,False
2025-10-05,-6.2266,162,-0.25,713,506.77,0.32,False
2025-10-06,-3.603,171,0.8766,728,504.4,0.34,False
2025-10-07,-3.9491,195,-0.3949,693,503.83,0.39,False
2025-10-08,-2.0008,184,1.1304,684,504.6,0.36,False
2025-10-09,-1.7419,152,1.575,681,488.23,0.31,False
2025-10-10,-2.0535,149,0.8738,686,414.3,0.36,False
2025-10-11,-2.3982,129,1.1388,449,354.47,0.36,False
2025-10-12,-1.3521,171,1.1094,710,303.67,0.56,False
2025-10-13,-1.9265,265,0.786,816,262.87,1.01,False
2025-10-14,-3.1087,403,-0.3809,1273,241.87,1.67,False
2025-10-15,-3.3406,271,-0.317,957,232.47,1.17,False
2025-10-16,-1.1551,283,1.0127,1073,222.73,1.27,False
2025-10-17,0.6338,224,1.8335,817,216.63,1.03,False
2025-10-18,-1.4333,186,1.5785,713,212.3,0.88,False
2025-10-19,-1.3191,177,1.8537,682,205.33,0.86,False
2025-10-20,-0.2088,316,1.0377,1167,194.67,1.62,False
2025-10-21,-1.9157,225,1.0164,958,200.93,1.12,False
2025-10-22,-0.8168,143,0.6923,569,201.03,0.71,False
2025-10-23,-3.0118,129,-0.5798,548,197.4,0.65,False
2025-10-24,-0.4312,68,0.2191,343,194.33,0.35,False
2025-10-25,-2.8387,118,-0.2305,471,188.17,0.63,False
2025-10-26,-0.2953,74,1.5797,286,184.13,0.4,False
2025-10-27,-2.265,171,0.283,752,177.6,0.96,False
2025-10-28,-1.6063,199,0.4814,995,178.63,1.11,False
2025-10-29,-0.8547,307,1.5876,1274,180.7,1.7,False
2025-10-30,-1.337,223,1.9852,887,185.37,1.2,False
2025-10-31,-1.8703,293,1.0413,1124,187.9,1.56,False
2025-11-01,-1.4675,120,0.8267,474,191.8,0.63,False
2025-11-02,-1.9009,179,0.7134,764,190.9,0.94,False
2025-11-03,-1.5755,272,0.5066,1132,193.53,1.41,False
2025-11-04,-1.8396,250,0.3852,1012,198.63,1.26,False
2025-11-05,-0.8725,304,2.1171,1219,201.57,1.51,False
2025-11-06,-1.4197,253,0.5383,1008,206.0,1.23,False
2025-11-07,-1.404,121,0.0273,475,207.93,0.58,False
2025-11-08,-1.5874,128,1.1281,589,205.83,0.62,False
2025-11-09,0.107,146,0.4651,702,205.03,0.71,False
2025-11-10,-1.2628,170,0.1353,726,204.93,0.83,False
2025-11-11,-1.8004,230,0.6278,958,206.3,1.11,False
2025-11-12,-1.6158,150,1.128,672,208.27,0.72,False
2025-11-13,-0.9368,209,2.1354,893,204.43,1.02,False
2025-11-14,0.4011,197,2.0284,792,197.97,1.0,False
2025-11-15,-1.0673,69,-0.2101,280,195.5,0.35,False
