1260730207	20240901	202409	2024	2024.6603	BGD	BANGLADESH	BGD								REB	UPRISING						REB			1	010	010	01	1	0.0	4	1	4	-4.13223140495867	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250901190000	https://indianewengland.com/yunus-says-bangladesh-stable-enough-to-hold-elections-in-february-2026/
1260730208	20240901	202409	2024	2024.6603	USA	UNITED STATES	USA																		1	084	084	08	2	7.0	6	1	6	4.56026058631922	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20250901190000	https://wibqam.com/2025/09/01/illinois-department-of-labor-releases-highlights-on-labor-day/
1260730209	20240901	202409	2024	2024.6603	USA	ILLINOIS	USA																		1	084	084	08	2	7.0	4	1	4	4.56026058631922	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20250901190000	https://wibqam.com/2025/09/01/illinois-department-of-labor-releases-highlights-on-labor-day/
1260730210	20240901	202409	2024	2024.6603	VEN	VENEZUELA	VEN								MIL	MILITARY						MIL			1	130	130	13	3	-4.4	1	1	1	-6.88259109311741	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250901190000	https://www.spacewar.com/afp/250901174053.s97bsltr.html
1260730211	20240901	202409	2024	2024.6603	VENMED	CARACAS	VEN					MED			MIL	MILITARY						MIL			1	130	130	13	3	-4.4	6	1	6	-6.88259109311741	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250901190000	https://www.spacewar.com/afp/250901174053.s97bsltr.html
1260730212	20250802	202508	2025	2025.5808	MIL	NATIONAL GUARD						MIL			USA	WASHINGTON	USA								1	012	012	01	1	-0.4	1	1	1	-1.9108280254777	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250901190000	https://www.washingtonexaminer.com/news/white-house/3788975/trump-cites-muriel-bowser-popularity-blue-state-governors-national-guard/
1260730213	20250802	202508	2025	2025.5808	MIL	NATIONAL GUARD						MIL			USA	WASHINGTON	USA								1	012	012	01	1	-0.4	4	1	4	-1.9108280254777	2	District of Columbia, United States	US	USDC		38.8964	-77.0262	DC	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250901190000	https://www.washingtonexaminer.com/news/white-house/3788975/trump-cites-muriel-bowser-popularity-blue-state-governors-national-guard/
1260730214	20250825	202508	2025	2025.6438	CHRCTH	CATHOLIC				CHR	CTH				USA	MINNEAPOLIS	USA								1	193	193	19	4	-10.0	8	1	8	-0.63424947145877	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250901190000	https://www.wfae.org/united-states-world/2025-09-01/catholic-leaders-call-for-increased-gun-safety-laws-after-minnesota-church-shooting
1260730215	20250825	202508	2025	2025.6438	CHRCTH	CATHOLIC				CHR	CTH				USA	MINNEAPOLIS	USA								1	193	193	19	4	-10.0	2	1	2	-0.63424947145877	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250901190000	https://www.wfae.org/united-states-world/2025-09-01/catholic-leaders-call-for-increased-gun-safety-laws-after-minnesota-church-shooting
1260730216	20250825	202508	2025	2025.6438	JPN	JAPAN	JPN								MED	MAGAZINE						MED			1	042	042	04	1	1.9	4	1	4	0.797448165869218	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20250901190000	https://comicbook.com/anime/news/jujutsu-kaisen-gege-akutami-shonen-jump-mojuro-first-look/
1260730217	20250825	202508	2025	2025.6438	MED	MAGAZINE						MED													1	043	043	04	1	2.8	6	1	6	0.797448165869218	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20250901190000	https://comicbook.com/anime/news/jujutsu-kaisen-gege-akutami-shonen-jump-mojuro-first-look/
