1261048422	20240903	202409	2024	2024.6658	BUS	COMPANY						BUS			USAMED	REUTERS	USA					MED			1	010	010	01	1	0.0	5	1	5	-0.55248618784531	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250903103000	https://www.marketscreener.com/news/with-dollars-scarce-venezuela-currency-exchanges-turn-to-crypto-ce7d59dad18af42d
1261048423	20240903	202409	2024	2024.6658	GOV	GOVERNMENT						GOV													1	020	020	02	1	3.0	10	1	10	-4.46927374301676	5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	0								5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	20250903103000	https://leftfootforward.org/2025/09/richard-tice-claims-no-chaos-at-reform-councils-despite-councillor-suspensions-and-resignations/
1261048424	20240903	202409	2024	2024.6658	GOV	GOVERNMENT						GOV													1	071	071	07	2	7.4	10	1	10	-4.46927374301676	5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	0								5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	20250903103000	https://leftfootforward.org/2025/09/richard-tice-claims-no-chaos-at-reform-councils-despite-councillor-suspensions-and-resignations/
1261048425	20240903	202409	2024	2024.6658	MED	MEDIA						MED													0	020	020	02	1	3.0	10	1	10	-6.85840707964602	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Singapore	SN	SN		1.366667	103.8	SN	20250903103000	https://www.yahoo.com/news/articles/singapore-order-meta-clamp-down-094058752.html
1261048426	20240903	202409	2024	2024.6658	MED	MEDIA						MED													0	030	030	03	1	4.0	10	1	10	-6.85840707964602	1	Singapore	SN	SN		1.366667	103.8	SN	0								1	Singapore	SN	SN		1.366667	103.8	SN	20250903103000	https://www.yahoo.com/news/articles/singapore-order-meta-clamp-down-094058752.html
1261048427	20240903	202409	2024	2024.6658	PRK	NORTH KOREA	PRK								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	042	042	04	1	1.9	2	1	2	0.95923261390887	1	North Korea	KN	KN		40	127	KN	1	Russia	RS	RS		60	100	RS	1	North Korea	KN	KN		40	127	KN	20250903103000	https://www.theweek.in/news/world/2025/09/03/kim-jong-un-s-bold-statement-ditches-mao-suit-sends-message-with-mercedes-plate.html
1261048428	20240903	202409	2024	2024.6658	PRK	NORTH KOREA	PRK								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	043	043	04	1	2.8	4	1	4	0.95923261390887	1	North Korea	KN	KN		40	127	KN	1	Russia	RS	RS		60	100	RS	1	North Korea	KN	KN		40	127	KN	20250903103000	https://www.theweek.in/news/world/2025/09/03/kim-jong-un-s-bold-statement-ditches-mao-suit-sends-message-with-mercedes-plate.html
1261048429	20240903	202409	2024	2024.6658	PRK	NORTH KOREA	PRK								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	043	043	04	1	2.8	2	1	2	0.95923261390887	1	North Korea	KN	KN		40	127	KN	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20250903103000	https://www.theweek.in/news/world/2025/09/03/kim-jong-un-s-bold-statement-ditches-mao-suit-sends-message-with-mercedes-plate.html
1261048430	20240903	202409	2024	2024.6658	RUS	MOSCOW	RUS								RUSMIL	RUSSIA	RUS					MIL			0	071	071	07	2	7.4	2	1	2	-1.92307692307693	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250903103000	https://www.mirror.co.uk/news/world-news/awkward-putin-crumbles-next-alpha-35838041
1261048431	20240903	202409	2024	2024.6658	RUSGOV	VLADIMIR PUTIN	RUS					GOV			PRK	NORTH KOREA	PRK								1	042	042	04	1	1.9	4	1	4	0.95923261390887	1	Russia	RS	RS		60	100	RS	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20250903103000	https://www.theweek.in/news/world/2025/09/03/kim-jong-un-s-bold-statement-ditches-mao-suit-sends-message-with-mercedes-plate.html
1261048432	20240903	202409	2024	2024.6658	RUSGOV	VLADIMIR PUTIN	RUS					GOV			PRK	NORTH KOREA	PRK								1	042	042	04	1	1.9	2	1	2	0.95923261390887	1	Russia	RS	RS		60	100	RS	1	North Korea	KN	KN		40	127	KN	1	Russia	RS	RS		60	100	RS	20250903103000	https://www.theweek.in/news/world/2025/09/03/kim-jong-un-s-bold-statement-ditches-mao-suit-sends-message-with-mercedes-plate.html
