1261114025	20240903	202409	2024	2024.6658	CANGOVEDU	ONTARIO	CAN					GOV	EDU		CAN	ONTARIO	CAN								1	020	020	02	1	3.0	10	1	10	-2.85374554102259	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250903163000	https://www.intelligencer.ca:443/news/local-news/school-trustees-essential/wcm/0046049b-5dda-4c25-b1a8-fb09d2ca2b77
1261114026	20240903	202409	2024	2024.6658	GBR	UNITED KINGDOM	GBR																		0	051	051	05	1	3.4	4	1	4	-2.4024024024024	4	Larkhall, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.7333	-3.96667	-2600775	0								4	Larkhall, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.7333	-3.96667	-2600775	20250903163000	https://www.walesonline.co.uk/news/wales-news/election-replace-hefin-david-not-32406347
1261114027	20240903	202409	2024	2024.6658	ISREDU	ISRAEL	ISR					EDU			EDU	UNIVERSITY						EDU			1	115	115	11	3	-2.0	4	1	4	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114028	20240903	202409	2024	2024.6658	ISREDU	ISRAEL	ISR					EDU			JUD	FEDERAL COURT						JUD			1	115	115	11	3	-2.0	4	1	4	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114029	20240903	202409	2024	2024.6658	JUD	SUPREME COURT						JUD													1	110	110	11	3	-2.0	10	1	10	-0.337837837837839	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	0								4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20250903163000	https://www.dailyexcelsior.com/sc-upholds-jkbopee-decision-on-mbbs-bds-admissions-for-persons-with-temporary-disabilities/
1261114030	20240903	202409	2024	2024.6658	NGOUSAJEWJUD	AMIT	USA			JEW		NGO	JUD		MNCUSAMED	GOOGLE	USA					MNC	MED		0	112	112	11	3	-2.0	6	1	6	-1.44927536231884	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20250903163000	https://www.manilatimes.net/2025/09/04/business/foreign-business/google-not-required-to-sell-chrome-in-antitrust-victory/2178185
1261114031	20240903	202409	2024	2024.6658	PSE	PALESTINIAN	PSE								EDU	UNIVERSITY						EDU			1	115	115	11	3	-2.0	4	1	4	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114032	20240903	202409	2024	2024.6658	PSE	PALESTINIAN	PSE								JUD	FEDERAL COURT						JUD			1	115	115	11	3	-2.0	4	1	4	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114033	20240903	202409	2024	2024.6658	PSEEDU	PALESTINIAN	PSE					EDU			EDU	UNIVERSITY						EDU			1	115	115	11	3	-2.0	2	1	2	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114034	20240903	202409	2024	2024.6658	PSEEDU	PALESTINIAN	PSE					EDU			JUD	FEDERAL COURT						JUD			1	115	115	11	3	-2.0	2	1	2	-2.22222222222222	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250903163000	https://www.dddnews.com/news/palestinian-student-group-files-suit-over-exclusion-from-university-of-missouri-homecoming-parade-918761c8
1261114035	20240903	202409	2024	2024.6658	REF	ASYLUM SEEKER						REF			GBR	UNITED KINGDOM	GBR								0	190	190	19	4	-10.0	1	1	1	-4.37405731523379	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20250903163000	https://www.mirror.co.uk/news/politics/nigel-farage-accused-badmouthing-britain-35843281
1261114036	20250804	202508	2025	2025.5863											UKR	UKRAINE	UKR								0	186	186	18	4	-10.0	4	1	4	-6.37376237623762	0								4	Lviv, L'vivs'ka Oblast', Ukraine	UP	UP15	28555	49.8407	24.0305	-1045268	4	Lviv, L'vivs'ka Oblast', Ukraine	UP	UP15	28555	49.8407	24.0305	-1045268	20250903163000	https://www.thetimes.com/world/russia-ukraine-war/article/how-russias-spies-tricked-ukrainians-into-killing-their-own-h60wtck8g
1261114037	20250804	202508	2025	2025.5863											USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-0.4119464469619	0								4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20250903163000	https://www.durangoherald.com/articles/for-polands-president-a-hearty-trump-slap-on-the-shoulder-and-gazing-at-a-white-house-flyover/
1261114038	20250804	202508	2025	2025.5863											USA	ALASKA	USA								1	042	042	04	1	1.9	4	1	4	-0.4119464469619	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20250903163000	https://www.durangoherald.com/articles/for-polands-president-a-hearty-trump-slap-on-the-shoulder-and-gazing-at-a-white-house-flyover/
1261114039	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USA	UNITED STATES	USA								1	046	046	04	1	7.0	2	1	2	7.3482428115016	3	Rainsville, Alabama, United States	US	USAL	AL049	34.4943	-85.8477	150475	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114040	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USA	ALABAMA	USA								1	046	046	04	1	7.0	7	1	7	7.3482428115016	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114041	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USA	UNITED STATES	USA								1	173	173	17	4	-5.0	4	1	4	7.3482428115016	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	3	Rainsville, Alabama, United States	US	USAL	AL049	34.4943	-85.8477	150475	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114042	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USA	ALABAMA	USA								1	173	173	17	4	-5.0	1	1	1	7.3482428115016	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114043	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USAEDU	UNITED STATES	USA					EDU			1	173	173	17	4	-5.0	2	1	2	7.3482428115016	3	Rainsville, Alabama, United States	US	USAL	AL049	34.4943	-85.8477	150475	3	Rainsville, Alabama, United States	US	USAL	AL049	34.4943	-85.8477	150475	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114044	20250804	202508	2025	2025.5863	CVLEDU	COMMUNITY						CVL	EDU		USAEDU	UNITED STATES	USA					EDU			1	173	173	17	4	-5.0	2	1	2	7.3482428115016	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	3	Rainsville, Alabama, United States	US	USAL	AL049	34.4943	-85.8477	150475	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250903163000	https://www.therandolphleader.com/2025/09/03/southern-union-instructors-attend-master-teacher-event-in-rainsville/
1261114045	20250804	202508	2025	2025.5863	GBR	BRITISH	GBR								BUS	COMPANY						BUS			0	172	172	17	4	-5.0	2	1	2	-6.77506775067751	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250903163000	https://www.yahoo.com/news/articles/crowd-creator-arrested-speech-crimes-152115543.html
1261114046	20250804	202508	2025	2025.5863	GBR	UNITED KINGDOM	GBR								GBRGOV	LONDON	GBR					GOV			0	040	040	04	1	1.0	1	1	1	2.51537171604248	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Balmoral, Belfast, United Kingdom	UK	UKR3	40158	54.55	-5.96667	-2589140	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250903163000	https://www.dailymail.co.uk/femail/article-15061857/King-Charles-appears-cheerful-tours-Birmingham-Oratory-returning-work-following-summer-holidays.html
1261114047	20250804	202508	2025	2025.5863	GBRGOV	BRITISH	GBR					GOV			BUS	COMPANY						BUS			0	172	172	17	4	-5.0	8	1	8	-6.77506775067751	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250903163000	https://www.yahoo.com/news/articles/crowd-creator-arrested-speech-crimes-152115543.html
