1261587134	20240905	202409	2024	2024.6712	COP	POLICE						COP			CHN	CHINA	CHN								1	173	173	17	4	-5.0	5	1	5	-9.38967136150234	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250905234500	https://timesofindia.indiatimes.com/city/noida/in-noida-man-held-for-providing-sims-to-cyber-cons-with-chinese-links/articleshow/123725176.cms
1261587135	20240905	202409	2024	2024.6712	GOV	ATTORNEY GENERAL						GOV													0	180	180	18	4	-9.0	3	1	3	-4.46194225721785	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20250905234500	https://www.wbtv.com/2025/09/05/charlotte-man-accused-rape-90s-cold-case-out-bond-records-show/
1261587136	20240905	202409	2024	2024.6712	GOV	ATTORNEY GENERAL						GOV			USA	UNITED STATES	USA								0	180	180	18	4	-9.0	2	1	2	-4.46194225721785	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20250905234500	https://www.wbtv.com/2025/09/05/charlotte-man-accused-rape-90s-cold-case-out-bond-records-show/
1261587137	20240905	202409	2024	2024.6712	USA	UNITED STATES	USA																		0	180	180	18	4	-9.0	2	1	2	-4.46194225721785	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20250905234500	https://www.wbtv.com/2025/09/05/charlotte-man-accused-rape-90s-cold-case-out-bond-records-show/
1261587138	20240905	202409	2024	2024.6712	USA	DELAWARE	USA								USAJUD	UNITED STATES	USA					JUD			0	0842	084	08	2	7.0	4	1	4	0.79260237780714	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250905234500	https://www.nzherald.co.nz/business/companies/elon-musk-could-become-first-trillionaire-with-tesla-pay-deal-worth-up-to-144t/F3W57RGFUJARPA5GUFRIHHASWU/
1261587139	20250806	202508	2025	2025.5918											USACVL	SAN DIEGO	USA					CVL			1	046	046	04	1	7.0	6	1	6	-1.52505446623094	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587140	20250806	202508	2025	2025.5918	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	3	1	3	-5.59284116331097	3	Capitol Hill, District of Columbia, United States	US	USDC	DC001	38.889	-77.0003	529313	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20250905234500	https://www.breitbart.com/politics/2025/09/05/jeanine-pirro-two-teens-charged-in-murder-of-capitol-hill-intern-third-suspect-remains-at-large/
1261587141	20250806	202508	2025	2025.5918	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	1	1	1	-5.59284116331097	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20250905234500	https://www.breitbart.com/politics/2025/09/05/jeanine-pirro-two-teens-charged-in-murder-of-capitol-hill-intern-third-suspect-remains-at-large/
1261587142	20250806	202508	2025	2025.5918	USA	UNITED STATES	USA																		0	111	111	11	3	-2.0	1	1	1	-5.59284116331097	3	Capitol Hill, District of Columbia, United States	US	USDC	DC001	38.889	-77.0003	529313	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20250905234500	https://www.breitbart.com/politics/2025/09/05/jeanine-pirro-two-teens-charged-in-murder-of-capitol-hill-intern-third-suspect-remains-at-large/
1261587143	20250806	202508	2025	2025.5918	USA	SAN DIEGO	USA								USACVL	UNITED STATES	USA					CVL			1	040	040	04	1	1.0	4	1	4	-1.52505446623094	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587144	20250806	202508	2025	2025.5918	USA	SAN DIEGO	USA								USACVL	UNITED STATES	USA					CVL			1	046	046	04	1	7.0	4	1	4	-1.52505446623094	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587145	20250806	202508	2025	2025.5918	USACVL	SAN DIEGO	USA					CVL													1	040	040	04	1	1.0	6	1	6	-1.52505446623094	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587146	20250806	202508	2025	2025.5918	USACVL	SAN DIEGO	USA					CVL													1	046	046	04	1	7.0	6	1	6	-1.52505446623094	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587147	20250806	202508	2025	2025.5918	USACVL	UNITED STATES	USA					CVL			USA	SAN DIEGO	USA								1	046	046	04	1	7.0	4	1	4	-1.52505446623094	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20250905234500	https://obrag.org/2025/09/a-very-significant-network-the-san-diego-community-coalition-to-meet-on-saturday-september-6-in-clairemont/
1261587148	20250829	202508	2025	2025.6548	EDU	STUDENT						EDU			USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	-0.95238095238095	3	New Orleans, Louisiana, United States	US	USLA	LA071	29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	20250905234500	https://www.govtech.com/education/k-12/new-orleans-school-enlists-teachers-to-study-ai-ethics-uses
1261587149	20250829	202508	2025	2025.6548	JUD	FEDERAL COURT						JUD			USA	LOUISIANA	USA								1	043	043	04	1	2.8	5	1	5	-1.81451612903226	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250905234500	https://www.nola.com/news/politics/legislative-black-caucus-lawsuit-liz-murrill/article_81c6819a-beb5-4a6d-8f9e-d9cf48af0593.html
1261587150	20250829	202508	2025	2025.6548	USA	UNITED STATES	USA								EDU	STUDENT						EDU			0	040	040	04	1	1.0	2	1	2	-0.95238095238095	3	New Orleans, Louisiana, United States	US	USLA	LA071	29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	3	New Orleans, Louisiana, United States	US	USLA		29.9546	-90.0751	1629985	20250905234500	https://www.govtech.com/education/k-12/new-orleans-school-enlists-teachers-to-study-ai-ethics-uses
1261587151	20250829	202508	2025	2025.6548	USA	LOUISIANA	USA								JUD	FEDERAL COURT						JUD			1	042	042	04	1	1.9	5	1	5	-1.81451612903226	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250905234500	https://www.nola.com/news/politics/legislative-black-caucus-lawsuit-liz-murrill/article_81c6819a-beb5-4a6d-8f9e-d9cf48af0593.html
1261587152	20250905	202509	2025	2025.6712											BUS	COMPANY						BUS			1	046	046	04	1	7.0	6	1	6	2.88713910761155	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250905234500	http://virginiabusiness.com/zephyr-ai-taps-new-ceo/
