1262035094	20240909	202409	2024	2024.6822	AFR	AFRICA	AFR								ETH	ADDIS ABABA	ETH								1	046	046	04	1	7.0	2	1	2	0.495867768595041	1	Egypt	EG	EG		27	30	EG	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Egypt	EG	EG		27	30	EG	20250909024500	https://www.newsghana.com.gh/african-leaders-demand-climate-justice-at-addis-summit/
1262035095	20240909	202409	2024	2024.6822	ETH	ADDIS ABABA	ETH								AFR	AFRICA	AFR								1	043	043	04	1	2.8	2	1	2	0.495867768595041	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20250909024500	https://www.newsghana.com.gh/african-leaders-demand-climate-justice-at-addis-summit/
1262035096	20240909	202409	2024	2024.6822	ETH	ADDIS ABABA	ETH								AFR	AFRICA	AFR								1	046	046	04	1	7.0	2	1	2	0.495867768595041	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20250909024500	https://www.newsghana.com.gh/african-leaders-demand-climate-justice-at-addis-summit/
1262035097	20240909	202409	2024	2024.6822	JUD	SUPREME COURT						JUD													0	100	100	10	3	-5.0	3	1	3	-4.57209847596718	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20250909024500	https://www.jdsupra.com/legalnews/appeals-court-limits-title-vii-1537669/
1262035098	20240909	202409	2024	2024.6822	JUD	SUPREME COURT						JUD													0	100	100	10	3	-5.0	2	1	2	-4.57209847596718	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20250909024500	https://www.jdsupra.com/legalnews/appeals-court-limits-title-vii-1537669/
1262035099	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								GBR	UNITED KINGDOM	GBR								0	010	010	01	1	0.0	2	1	2	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	United Kingdom	UK	UK		54	-4	UK	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035100	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								GBR	UNITED KINGDOM	GBR								0	010	010	01	1	0.0	2	1	2	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035101	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								GBR	UNITED KINGDOM	GBR								0	1821	182	18	4	-9.0	2	1	2	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	United Kingdom	UK	UK		54	-4	UK	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035102	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								GBR	UNITED KINGDOM	GBR								0	1821	182	18	4	-9.0	2	1	2	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035103	20240909	202409	2024	2024.6822	USA	NEW JERSEY	USA								JUD	ATTORNEY						JUD			1	010	010	01	1	0.0	4	1	4	-5.26315789473684	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250909024500	https://www.yahoo.com/news/articles/substandard-rental-conditions-draw-federal-015642438.html
1262035104	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI		0	010	010	01	1	0.0	6	1	6	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
