1262367518	20240910	202409	2024	2024.6849	BUS	COMPANY						BUS			IRL	IRELAND	IRL								1	036	036	03	1	4.0	2	1	2	4.0268456375839	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250910144500	https://www.spin1038.com/events/matilda-the-musical-is-returning-to-dublin-2193607
1262367519	20240910	202409	2024	2024.6849	COP	DEPUTY						COP			LCAGOV	STEPHENSON	LCA					GOV			1	020	020	02	1	3.0	6	1	6	-0.70093457943925	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20250910144500	https://jerseyeveningpost.com/news/2025/09/10/calls-for-ivf-funding-for-couples-with-children-from-previous-relationships/
1262367520	20240910	202409	2024	2024.6849	COP	DEPUTY						COP			LCAGOV	STEPHENSON	LCA					GOV			1	071	071	07	2	7.4	6	1	6	-0.70093457943925	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20250910144500	https://jerseyeveningpost.com/news/2025/09/10/calls-for-ivf-funding-for-couples-with-children-from-previous-relationships/
1262367521	20240910	202409	2024	2024.6849	COP	DEPUTY						COP			USA	JERSEY	USA								1	071	071	07	2	7.4	2	1	2	-0.70093457943925	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20250910144500	https://jerseyeveningpost.com/news/2025/09/10/calls-for-ivf-funding-for-couples-with-children-from-previous-relationships/
1262367522	20240910	202409	2024	2024.6849	USA	JERSEY	USA																		1	071	071	07	2	7.4	2	1	2	-0.70093457943925	1	Jersey	JE	JE		49.216667	-2.116667	JE	0								1	Jersey	JE	JE		49.216667	-2.116667	JE	20250910144500	https://jerseyeveningpost.com/news/2025/09/10/calls-for-ivf-funding-for-couples-with-children-from-previous-relationships/
1262367523	20250811	202508	2025	2025.6055	BLR	BELARUS	BLR								UKR	UKRAINE	UKR								0	041	041	04	1	1.0	4	1	4	-3.03030303030303	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250910144500	https://www.winnipegfreepress.com/world/2025/09/10/war-games-involving-russia-and-belarus-start-this-week-what-to-know-about-the-military-drills
1262367524	20250811	202508	2025	2025.6055	CAN	TORONTO	CAN								CANCOP	TORONTO	CAN					COP			1	190	190	19	4	-10.0	6	1	6	-5.49450549450549	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20250910144500	https://www.winnipegfreepress.com/uncategorized/2025/09/10/police-to-provide-update-on-8-year-old-toronto-boy-killed-by-stray-bullet-last-month
1262367525	20250811	202508	2025	2025.6055	GOV	PRESIDENT						GOV													1	020	020	02	1	3.0	6	1	6	-10.6267029972752	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	0								3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250910144500	https://www.financialexpress.com/world-news/us-news/trump-calls-for-death-penalty-for-iryna-zarutskas-murderer/3973426/
1262367526	20250811	202508	2025	2025.6055	GOV	PRESIDENT						GOV			MED	MEDIA						MED			0	041	041	04	1	1.0	6	1	6	-3.03030303030303	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250910144500	https://www.winnipegfreepress.com/world/2025/09/10/war-games-involving-russia-and-belarus-start-this-week-what-to-know-about-the-military-drills
1262367527	20250811	202508	2025	2025.6055	MED	MEDIA						MED			GOV	PRESIDENT						GOV			0	041	041	04	1	1.0	6	1	6	-3.03030303030303	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250910144500	https://www.winnipegfreepress.com/world/2025/09/10/war-games-involving-russia-and-belarus-start-this-week-what-to-know-about-the-military-drills
1262367528	20250811	202508	2025	2025.6055	UKR	UKRAINE	UKR								BLR	BELARUS	BLR								0	041	041	04	1	1.0	4	1	4	-3.03030303030303	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20250910144500	https://www.winnipegfreepress.com/world/2025/09/10/war-games-involving-russia-and-belarus-start-this-week-what-to-know-about-the-military-drills
