1263217599	20150918	201509	2015	2015.7068	GOV	STATE OWNED						GOV			CZE	CZECH	CZE								1	0311	031	03	1	5.2	8	1	8	-0.95238095238095	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	20250915123000	https://english.radio.cz/czech-power-networks-be-boasted-80-billion-czk-investment-8862754
1263217600	20240915	202409	2024	2024.6986	EDU	STUDENT						EDU			RUS	MOSCOW	RUS								1	042	042	04	1	1.9	8	1	8	-3.32409972299169	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915123000	https://www.indiatoday.in/india/story/moga-man-went-to-russia-on-student-visa-forced-to-join-army-amid-ukraine-war-2787682-2025-09-15
1263217601	20240915	202409	2024	2024.6986	EDU	PROFESSOR						EDU			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	-1.05263157894737	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250915123000	https://www.clickorlando.com/news/florida/2025/09/15/how-soon-will-florida-be-underwater-heres-a-map/
1263217602	20240915	202409	2024	2024.6986	IRL	IRELAND	IRL								USA	UNITED STATES	USA								0	173	173	17	4	-5.0	2	1	2	-4.13793103448276	1	Ireland	EI	EI		53	-8	EI	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Ireland	EI	EI		53	-8	EI	20250915123000	https://www.hindustantimes.com/world-news/us-news/why-was-tyler-robinson-advised-to-not-visit-mcdonalds-after-charlie-kirk-shooting-luigi-mangione-angle-revealed-101757933091906.html
1263217603	20240915	202409	2024	2024.6986	RUS	MOSCOW	RUS								EDU	STUDENT						EDU			1	043	043	04	1	2.8	8	1	8	-3.32409972299169	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915123000	https://www.indiatoday.in/india/story/moga-man-went-to-russia-on-student-visa-forced-to-join-army-amid-ukraine-war-2787682-2025-09-15
1263217604	20240915	202409	2024	2024.6986	RUS	RUSSIAN	RUS								EDU	STUDENT						EDU			1	173	173	17	4	-5.0	2	1	2	-3.32409972299169	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915123000	https://www.indiatoday.in/india/story/moga-man-went-to-russia-on-student-visa-forced-to-join-army-amid-ukraine-war-2787682-2025-09-15
1263217605	20240915	202409	2024	2024.6986	RUSMIL	RUSSIAN	RUS					MIL			EDU	STUDENT						EDU			1	173	173	17	4	-5.0	6	1	6	-3.32409972299169	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250915123000	https://www.indiatoday.in/india/story/moga-man-went-to-russia-on-student-visa-forced-to-join-army-amid-ukraine-war-2787682-2025-09-15
1263217606	20240915	202409	2024	2024.6986	USA	UNITED STATES	USA																		1	070	070	07	2	7.0	6	1	6	-1.42857142857143	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20250915123000	https://www.thehindubusinessline.com/data-stories/data-focus/us-emerges-as-top-source-of-fdi-inflows-in-q1-outpacing-singapore-and-mauritius/article70052278.ece
1263217607	20240915	202409	2024	2024.6986	USA	UNITED STATES	USA																		1	070	070	07	2	7.0	2	1	2	-1.42857142857143	1	China	CH	CH		35	105	CH	0								1	India	IN	IN		20	77	IN	20250915123000	https://www.thehindubusinessline.com/data-stories/data-focus/us-emerges-as-top-source-of-fdi-inflows-in-q1-outpacing-singapore-and-mauritius/article70052278.ece
1263217608	20240915	202409	2024	2024.6986	USA	UNITED STATES	USA																		1	070	070	07	2	7.0	2	1	2	-1.42857142857143	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20250915123000	https://www.thehindubusinessline.com/data-stories/data-focus/us-emerges-as-top-source-of-fdi-inflows-in-q1-outpacing-singapore-and-mauritius/article70052278.ece
1263217609	20240915	202409	2024	2024.6986	USA	FLORIDA	USA								EDU	PROFESSOR						EDU			1	013	013	01	1	0.4	8	1	8	-1.05263157894737	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250915123000	https://www.clickorlando.com/news/florida/2025/09/15/how-soon-will-florida-be-underwater-heres-a-map/
