1263317705	20240915	202409	2024	2024.6986	EUR	EUROPEAN	EUR								AUS	AUSTRALIAN	AUS								0	071	071	07	2	7.4	8	1	8	5.04451038575668	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250915231500	https://www.moneymanagement.com.au/news/funds-management/channel-capital-looks-pinnacle-distribution-hire
1263317706	20250816	202508	2025	2025.6192											BUS	BANK						BUS			1	042	042	04	1	1.9	10	1	10	3.78947368421053	0								1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20250915231500	https://www.gdnonline.com:443/Details/1363197/GCC-Islamic-banks-%E2%80%98will-continue-to-outperform-conventional-peers%E2%80%99
1263317707	20250816	202508	2025	2025.6192	BUS	BANK						BUS													1	043	043	04	1	2.8	10	1	10	3.78947368421053	1	Saudi Arabia	SA	SA		25	45	SA	0								1	Saudi Arabia	SA	SA		25	45	SA	20250915231500	https://www.gdnonline.com:443/Details/1363197/GCC-Islamic-banks-%E2%80%98will-continue-to-outperform-conventional-peers%E2%80%99
1263317708	20250816	202508	2025	2025.6192	CAN	CANADA	CAN																		1	110	110	11	3	-2.0	10	1	10	-0.30959752321981	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250915231500	https://www.cp24.com/news/canada/2025/09/15/unionized-canada-post-employees-urge-company-to-return-to-bargaining-table/
1263317709	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR																		0	010	010	01	1	0.0	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317710	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR																		0	010	010	01	1	0.0	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317711	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR																		0	0873	087	08	2	9.0	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317712	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR																		0	0873	087	08	2	9.0	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317713	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR								MIL	NATIONAL GUARD						MIL			0	154	154	15	4	-7.2	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317714	20250816	202508	2025	2025.6192	ISR	ISRAEL	ISR								MIL	NATIONAL GUARD						MIL			0	154	154	15	4	-7.2	2	1	2	-2.90786654423019	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317715	20250816	202508	2025	2025.6192	MIL	NATIONAL GUARD						MIL													0	0873	087	08	2	9.0	6	1	6	-2.90786654423019	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250915231500	https://www.cadillacnews.com/ap/national/the-latest-rubio-will-head-to-qatar-after-meeting-with-netanyahu-in-israel/article_b356e429-6ec8-522b-bc8e-0af874ece1fd.html
1263317716	20250908	202509	2025	2025.6795											BUS	COMPANY						BUS			0	020	020	02	1	3.0	2	1	2	-4.45026178010471	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	3	University Of South Carolina, South Carolina, United States	US	USSC		33.5546	-81.7254	1227317	20250915231500	https://www.wrdw.com/2025/09/15/12-your-side-investigates-private-hospital-cuts-ties-with-local-detention-center/
1263317717	20250908	202509	2025	2025.6795											BUS	COMPANY						BUS			0	020	020	02	1	3.0	8	1	8	-4.45026178010471	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250915231500	https://www.wrdw.com/2025/09/15/12-your-side-investigates-private-hospital-cuts-ties-with-local-detention-center/
