1263377621	20150919	201509	2015	2015.7096	IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV		IGOUNOKID	UNICEF		UNO				IGO			1	013	013	01	1	0.4	10	1	10	-5.96707818930041	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20250916073000	https://allafrica.com/stories/202509160035.html
1263377622	20240916	202409	2024	2024.7014	CHN	CHINA	CHN								CHNGOV	CHINA	CHN					GOV			0	111	111	11	3	-2.0	1	1	1	1.37575236457438	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	20250916073000	https://www.businessoffashion.com/articles/fashion-week/fashions-month-of-creative-change-kicks-off-in-new-york/
1263377623	20240916	202409	2024	2024.7014	CHN	CHINA	CHN								GOV	PRESIDENT						GOV			0	111	111	11	3	-2.0	1	1	1	1.37575236457438	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	4	Wen Zhou, Zhejiang, China	CH	CH02	13328	27.9994	120.667	-1930588	20250916073000	https://www.businessoffashion.com/articles/fashion-week/fashions-month-of-creative-change-kicks-off-in-new-york/
1263377624	20240916	202409	2024	2024.7014	ISR	ISRAELI	ISR								ISRGOV	ISRAEL	ISR					GOV			1	040	040	04	1	1.0	2	1	2	-1.67064439140812	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250916073000	https://www.bbc.com/news/articles/cg42v2r10kyo
1263377625	20240916	202409	2024	2024.7014	ISRGOV	ISRAEL	ISR					GOV			ISR	ISRAELI	ISR								1	040	040	04	1	1.0	2	1	2	-1.67064439140812	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250916073000	https://www.bbc.com/news/articles/cg42v2r10kyo
1263377626	20240916	202409	2024	2024.7014	ISRGOV	ISRAEL	ISR					GOV			ISR	ISRAELI	ISR								1	1712	171	17	4	-9.2	2	1	2	-1.67064439140812	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20250916073000	https://www.bbc.com/news/articles/cg42v2r10kyo
1263377627	20240916	202409	2024	2024.7014	USA	MEMPHIS	USA																		1	180	180	18	4	-9.0	8	1	8	-3.06748466257669	3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	0								3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	20250916073000	https://www.upi.com/Top_News/US/2025/09/16/president-Donald-Trump-memorandum-national-guard-memphis/5071757995406/
1263377628	20240916	202409	2024	2024.7014	USA	MEMPHIS	USA																		1	190	190	19	4	-10.0	10	1	10	-3.06748466257669	3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	0								3	Memphis, Tennessee, United States	US	USTN	TN157	35.1495	-90.049	1326388	20250916073000	https://www.upi.com/Top_News/US/2025/09/16/president-Donald-Trump-memorandum-national-guard-memphis/5071757995406/
1263377629	20250817	202508	2025	2025.6219	AUS	AUSTRALIAN	AUS								ISR	ISRAEL	ISR								0	160	160	16	4	-4.0	1	1	1	-6.68257756563246	1	Australia	AS	AS		-25	135	AS	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Australia	AS	AS		-25	135	AS	20250916073000	https://www.abc.net.au/news/2025-09-16/israel-committing-genocide-in-gaza-un-report-says/105780230
1263377630	20250817	202508	2025	2025.6219	AUS	AUSTRALIAN	AUS								ISR	ISRAEL	ISR								0	160	160	16	4	-4.0	1	1	1	-6.68257756563246	1	New Zealand	NZ	NZ		-42	174	NZ	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	20250916073000	https://www.abc.net.au/news/2025-09-16/israel-committing-genocide-in-gaza-un-report-says/105780230
1263377631	20250817	202508	2025	2025.6219	AUSGOV	AUSTRALIAN	AUS					GOV			ISR	ISRAEL	ISR								0	160	160	16	4	-4.0	7	1	7	-6.68257756563246	1	Australia	AS	AS		-25	135	AS	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Australia	AS	AS		-25	135	AS	20250916073000	https://www.abc.net.au/news/2025-09-16/israel-committing-genocide-in-gaza-un-report-says/105780230
1263377632	20250817	202508	2025	2025.6219	AUSGOV	AUSTRALIA	AUS					GOV			ISR	ISRAEL	ISR								0	160	160	16	4	-4.0	1	1	1	-6.68257756563246	1	Norway	NO	NO		62	10	NO	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United Kingdom	UK	UK		54	-4	UK	20250916073000	https://www.abc.net.au/news/2025-09-16/israel-committing-genocide-in-gaza-un-report-says/105780230
1263377633	20250817	202508	2025	2025.6219	TZA	TANZANIAN	TZA								PTY	PRESIDENTIAL CANDIDATE									1	172	172	17	4	-5.0	3	1	3	-5.67685589519654	1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20250916073000	https://allafrica.com/stories/202509160031.html
1263377634	20250909	202509	2025	2025.6822	GOV	PRESIDENT						GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	010	010	01	1	0.0	10	1	10	0.41322314049587	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20250916073000	https://www.euractiv.com/opinion/europes-independence-moment-or-the-long-road-to-agony/
