1263977550	20240919	202409	2024	2024.7096	BUS	INDUSTRY						BUS			MNCUSA	WELLS FARGO	USA					MNC			1	070	070	07	2	7.0	10	1	10	-0.15898251192368	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	20250919024500	https://itbrief.co.nz/story/banks-accelerate-shift-from-ai-research-to-practical-deployment
1263977551	20240919	202409	2024	2024.7096	CAN	CANADIAN	CAN								CANGOV	CANADA	CAN					GOV			0	050	050	05	1	3.5	4	1	4	1.26811594202899	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977552	20240919	202409	2024	2024.7096	CANGOV	CANADA	CAN					GOV			CAN	CANADIAN	CAN								0	050	050	05	1	3.5	4	1	4	1.26811594202899	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977553	20240919	202409	2024	2024.7096	CANPTY	CANADIAN	CAN								CAN	CANADIAN	CAN								0	020	020	02	1	3.0	6	1	6	1.26811594202899	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977554	20240919	202409	2024	2024.7096	CANPTY	CANADIAN	CAN								GOV	ADMINISTRATION						GOV			0	050	050	05	1	3.5	6	1	6	1.26811594202899	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977555	20240919	202409	2024	2024.7096	GOV	ADMINISTRATION						GOV			CANPTY	CANADIAN	CAN								0	050	050	05	1	3.5	6	1	6	1.26811594202899	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977556	20240919	202409	2024	2024.7096	IRN	IRAN	IRN								SYR	SYRIA	SYR								1	052	052	05	1	3.5	2	1	2	-6.77466863033874	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://kyma.com/news/2025/09/18/us-victims-of-october-7-attacks-file-a-new-lawsuit-against-hamas-syria-iran-and-north-korea/
1263977557	20240919	202409	2024	2024.7096	IRN	IRAN	IRN								SYR	SYRIA	SYR								1	052	052	05	1	3.5	3	1	3	-6.77466863033874	1	Iran	IR	IR		32	53	IR	1	Syria	SY	SY		35	38	SY	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://kyma.com/news/2025/09/18/us-victims-of-october-7-attacks-file-a-new-lawsuit-against-hamas-syria-iran-and-north-korea/
1263977558	20240919	202409	2024	2024.7096	JUD	SUPREME COURT						JUD			GOV	ADMINISTRATION						GOV			0	090	090	09	2	-2.0	12	1	12	-2.6408552302543	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250919024500	https://laist.com/news/arts-and-entertainment/legal-experts-jimmy-kimmel-live-illegal-jawboning-first-amendment-free-speech
1263977559	20240919	202409	2024	2024.7096	JUD	SUPREME COURT						JUD			MEDBUS	MEDIA						MED	BUS		0	040	040	04	1	1.0	12	1	12	-2.6408552302543	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250919024500	https://laist.com/news/arts-and-entertainment/legal-experts-jimmy-kimmel-live-illegal-jawboning-first-amendment-free-speech
1263977560	20240919	202409	2024	2024.7096	PRK	NORTH KOREA	PRK								SYR	SYRIA	SYR								1	052	052	05	1	3.5	1	1	1	-6.77466863033874	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://kyma.com/news/2025/09/18/us-victims-of-october-7-attacks-file-a-new-lawsuit-against-hamas-syria-iran-and-north-korea/
