1263999631	20240919	202409	2024	2024.7096	MIL	LIEUTENANT GENERAL						MIL			RUS	RUSSIA	RUS								0	190	190	19	4	-10.0	2	1	2	-8.72340425531915	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20250919061500	https://www.independent.ie/world-news/europe/babushka-bomber-caught-after-assassination-plot-on-head-of-russian-defence-business/a91213973.html
1263999632	20240919	202409	2024	2024.7096	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	4	1	4	0.63795853269538	3	Menlo Park, California, United States	US	USCA	CA081	37.4538	-122.182	1659108	0								3	Menlo Park, California, United States	US	USCA		37.4538	-122.182	1659108	20250919061500	https://www.thehindu.com/sci-tech/technology/metas-smart-glass-launch-sees-glitches-during-product-demos/article70068522.ece
1263999633	20240919	202409	2024	2024.7096	USA	UNITED STATES	USA								CHN	CHINA	CHN								0	061	061	06	2	6.4	4	1	4	1.03950103950104	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250919061500	https://torontosun.com/news/world/trump-xi-set-to-discuss-tiktok-deal-future-of-u-s-china-relations
1263999634	20240919	202409	2024	2024.7096	USA	AMERICAN	USA								CHN	CHINA	CHN								0	061	061	06	2	6.4	4	1	4	1.03950103950104	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20250919061500	https://torontosun.com/news/world/trump-xi-set-to-discuss-tiktok-deal-future-of-u-s-china-relations
1263999635	20250820	202508	2025	2025.6301											COPGOV	DEPUTY						COP	GOV		1	046	046	04	1	7.0	4	1	4	3.85852090032154	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250919061500	https://www.thehindubusinessline.com/news/national/karnataka-to-come-out-with-costal-tourism-policy-govt-invites-private-firms/article70068580.ece
1263999636	20250820	202508	2025	2025.6301	COPGOV	DEPUTY						COP	GOV												1	046	046	04	1	7.0	4	1	4	3.85852090032154	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250919061500	https://www.thehindubusinessline.com/news/national/karnataka-to-come-out-with-costal-tourism-policy-govt-invites-private-firms/article70068580.ece
1263999637	20250820	202508	2025	2025.6301	COPGOV	DEPUTY						COP	GOV		IND	KARNATAKA	IND								1	046	046	04	1	7.0	6	1	6	3.85852090032154	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250919061500	https://www.thehindubusinessline.com/news/national/karnataka-to-come-out-with-costal-tourism-policy-govt-invites-private-firms/article70068580.ece
1263999638	20250820	202508	2025	2025.6301	GOV	GOVERNMENT OFFICIAL						GOV			GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	5	1	5	-5.88235294117647	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20250919061500	https://www.moneycontrol.com/world/nirav-modi-files-fresh-appeal-in-uk-to-delay-extradition-to-india-london-court-agrees-to-hear-plea-article-13559917.html
1263999639	20250820	202508	2025	2025.6301	GOV	GOVERNMENT OFFICIAL						GOV			GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	5	1	5	-5.88235294117647	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20250919061500	https://www.moneycontrol.com/world/nirav-modi-files-fresh-appeal-in-uk-to-delay-extradition-to-india-london-court-agrees-to-hear-plea-article-13559917.html
1263999640	20250820	202508	2025	2025.6301	GOV	GOVERNMENT OFFICIAL						GOV			GBR	UNITED KINGDOM	GBR								1	020	020	02	1	3.0	10	1	10	-5.88235294117647	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250919061500	https://www.moneycontrol.com/world/nirav-modi-files-fresh-appeal-in-uk-to-delay-extradition-to-india-london-court-agrees-to-hear-plea-article-13559917.html
1263999641	20250820	202508	2025	2025.6301	IND	KARNATAKA	IND								COPGOV	DEPUTY						COP	GOV		1	046	046	04	1	7.0	6	1	6	3.85852090032154	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250919061500	https://www.thehindubusinessline.com/news/national/karnataka-to-come-out-with-costal-tourism-policy-govt-invites-private-firms/article70068580.ece
