1264101194	20240919	202409	2024	2024.7096											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	10	1	10	2.53164556962025	0								4	Sunshine Coast, Queensland, Australia	AS	AS04	154693	-26.5	153	-1602923	4	Sunshine Coast, Queensland, Australia	AS	AS04	154693	-26.5	153	-1602923	20250919170000	https://www.webwire.com/ViewPressRel.asp?aId=344099
1264101195	20240919	202409	2024	2024.7096	AUT	AUSTRIA	AUT								GOV	PRIME MINISTER						GOV			0	042	042	04	1	1.9	10	1	10	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101196	20240919	202409	2024	2024.7096	AUT	AUSTRIA	AUT								GOV	PRIME MINISTER						GOV			0	043	043	04	1	2.8	2	1	2	5.06756756756757	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101197	20240919	202409	2024	2024.7096	CHN	CHINA	CHN																		1	036	036	03	1	4.0	5	1	5	-5.63380281690141	1	Russia	RS	RS		60	100	RS	0								1	Russia	RS	RS		60	100	RS	20250919170000	https://indianexpress.com/shorts/world/i-like-tiktok-it-helped-get-me-elected-trump-xi-discuss-deal-10259877-2/
1264101198	20240919	202409	2024	2024.7096	GOV	PRIME MINISTER						GOV			AUT	AUSTRIA	AUT								0	042	042	04	1	1.9	8	1	8	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101199	20240919	202409	2024	2024.7096	GOV	PRIME MINISTER						GOV			AUT	AUSTRIA	AUT								0	042	042	04	1	1.9	2	1	2	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101200	20240919	202409	2024	2024.7096	GOV	PRIME MINISTER						GOV			AUT	AUSTRIA	AUT								0	043	043	04	1	2.8	6	1	6	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101201	20240919	202409	2024	2024.7096	GOV	PRIME MINISTER						GOV			AUT	AUSTRIA	AUT								0	043	043	04	1	2.8	2	1	2	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101202	20240919	202409	2024	2024.7096	GOV	PRIME MINISTER						GOV			AUT	AUSTRIA	AUT								0	043	043	04	1	2.8	2	1	2	5.06756756756757	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20250919170000	https://www.prokerala.com/news/articles/a1676720.html
1264101203	20240919	202409	2024	2024.7096	LBN	LEBANESE	LBN								REB	REBEL						REB			0	073	073	07	2	7.4	1	1	1	-3.5827186512118	4	Ghouta, Dimashq, Syria	SY	SY13	26333	33.5	36.3833	-2538031	4	Ghouta, Dimashq, Syria	SY	SY13	26333	33.5	36.3833	-2538031	4	Ghouta, Dimashq, Syria	SY	SY13	26333	33.5	36.3833	-2538031	20250919170000	https://www.thenationalnews.com/news/mena/2025/09/19/syria-discovers-mass-grave-at-site-of-2014-ambush/
1264101204	20240919	202409	2024	2024.7096	LBN	LEBANESE	LBN								REB	REBEL						REB			0	073	073	07	2	7.4	1	1	1	-3.5827186512118	1	Lebanon	LE	LE		33.833333	35.833333	LE	4	Ghouta, Dimashq, Syria	SY	SY13	26333	33.5	36.3833	-2538031	1	Israel	IS	IS		31.5	34.75	IS	20250919170000	https://www.thenationalnews.com/news/mena/2025/09/19/syria-discovers-mass-grave-at-site-of-2014-ambush/
