1265289853	20240926	202409	2024	2024.7288	AUS	AUSTRALIA	AUS								CVL	COMMUNITY						CVL			0	012	012	01	1	-0.4	2	1	2	-0.40899795501022	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	20250926033000	https://www.abc.net.au/news/2025-09-26/sa-declared-public-precincts/105820216
1265289854	20240926	202409	2024	2024.7288	CVL	COMMUNITY						CVL													0	012	012	01	1	-0.4	3	1	3	-0.40899795501022	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20250926033000	https://www.abc.net.au/news/2025-09-26/sa-declared-public-precincts/105820216
1265289855	20250827	202508	2025	2025.6493	USA	THE US	USA																		1	061	061	06	2	6.4	5	1	5	-1.31771595900439	0								0								0								20250926033000	https://www.businesstoday.in/markets/stocks/story/pharma-tariff-aurobindo-lupin-drl-sun-zydus-biocon-in-focus-after-100-trump-tariff-495792-2025-09-26
1265289856	20250919	202509	2025	2025.7096	COP	POLICE						COP			CAN	VANCOUVER	CAN								1	020	020	02	1	3.0	10	1	10	-0.45248868778281	4	North Vancouver, British Columbia, Canada	CA	CA02	12552	49.3167	-123.067	-570375	4	North Vancouver, British Columbia, Canada	CA	CA02	12552	49.3167	-123.067	-570375	4	North Vancouver, British Columbia, Canada	CA	CA02	12552	49.3167	-123.067	-570375	20250926033000	https://vancouversun.com:443/news/local-news/mounties-renew-call-missing-north-vancouver-woman
1265289857	20250919	202509	2025	2025.7096	GOVMIL	DEFENSE SECRETARY						GOV	MIL		MIL	MILITARY OFFICER						MIL			1	040	040	04	1	1.0	3	1	3	-1.65631469979296	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289858	20250919	202509	2025	2025.7096	GOVMIL	DEFENSE SECRETARY						GOV	MIL		MIL	MILITARY						MIL			1	042	042	04	1	1.9	3	1	3	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289859	20250919	202509	2025	2025.7096	GOVMIL	DEFENSE SECRETARY						GOV	MIL		USAMED	REUTERS	USA					MED			1	010	010	01	1	0.0	3	1	3	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289860	20250919	202509	2025	2025.7096	MIL	MILITARY						MIL			GOVMIL	DEFENSE SECRETARY						GOV	MIL		1	043	043	04	1	2.8	3	1	3	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289861	20250919	202509	2025	2025.7096	MIL	MILITARY						MIL			USA	UNITED STATES	USA								1	043	043	04	1	2.8	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289862	20250919	202509	2025	2025.7096	MIL	MILITARY						MIL			USAGOVMIL	UNITED STATES	USA					GOV	MIL		1	043	043	04	1	2.8	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289863	20250919	202509	2025	2025.7096	USA	UNITED STATES	USA								MIL	MILITARY						MIL			1	042	042	04	1	1.9	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289864	20250919	202509	2025	2025.7096	USA	UNITED STATES	USA								USAMED	REUTERS	USA					MED			1	010	010	01	1	0.0	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289865	20250919	202509	2025	2025.7096	USAGOVMIL	UNITED STATES	USA					GOV	MIL		MIL	MILITARY						MIL			1	042	042	04	1	1.9	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289866	20250919	202509	2025	2025.7096	USAGOVMIL	UNITED STATES	USA					GOV	MIL		USAMED	REUTERS	USA					MED			1	010	010	01	1	0.0	1	1	1	-1.65631469979296	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://www.financialexpress.com/world-news/us-news/pentagon-chief-pete-hegseth-summons-us-military-officers-to-virginia-in-rare-gathering-next-week/3989821/
1265289867	20250925	202509	2025	2025.7260	USA	UNITED STATES	USA																		1	012	012	01	1	-0.4	2	1	2	0.57142857142857	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	0								3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20250926033000	https://news4sanantonio.com/news/local/residents-push-for-east-side-revival-with-rezoning-proposal
1265289868	20250926	202509	2025	2025.7288											AFR	AFRICA	AFR								0	060	060	06	2	6.0	2	1	2	-2.04301075268817	0								4	Sierra Maestra, Ciudad de La Habana, Cuba	CU	CU02	14603	22.9667	-82.3417	314399	4	Sierra Maestra, Ciudad de La Habana, Cuba	CU	CU02	14603	22.9667	-82.3417	314399	20250926033000	https://www.cubaheadlines.com/articles/311718
1265289869	20250926	202509	2025	2025.7288											AGR	FARMER						AGR			1	042	042	04	1	1.9	10	1	10	8.92857142857143	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20250926033000	https://midmichigannow.com/news/local/flint-farmers-market-hosts-oktoberfest-celebration
1265289870	20250926	202509	2025	2025.7288											ARE	ABU DHABI	ARE								0	042	042	04	1	1.9	3	1	3	-0.30120481927711	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250926033000	https://www.staradvertiser.com/2025/09/25/breaking-news/trump-clears-way-for-american-owned-tiktok-valued-at-14b/
1265289871	20250926	202509	2025	2025.7288											ARE	UNITED ARAB EMIRATES	ARE								1	042	042	04	1	1.9	4	1	4	2.21052631578947	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250926033000	https://www.thetimes.com/life-style/luxury/article/london-beauty-industry-exodus-times-luxury-whv9b5w2x
