1265688131	20240928	202409	2024	2024.7342	IGOCOPITP	INTERPOL		ITP				IGO	COP		PHL	PHILIPPINE	PHL								0	190	190	19	4	-10.0	5	1	5	-9.17259453388244	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20250928164500	https://www.thesun.co.uk/news/36808018/beaten-electric-rods-pig-butcher-scam-factory-targeting-kids/
1265688132	20240928	202409	2024	2024.7342	JUD	ADVOCATE						JUD			EDU	STUDENT						EDU			1	020	020	02	1	3.0	10	1	10	-0.67873303167421	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250928164500	https://finance.yahoo.com/news/student-loan-forgiveness-delays-soon-160901958.html
1265688133	20240928	202409	2024	2024.7342	JUD	ADVOCATE						JUD			EDU	STUDENT						EDU			1	056	056	05	1	7.0	10	1	10	-0.67873303167421	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250928164500	https://finance.yahoo.com/news/student-loan-forgiveness-delays-soon-160901958.html
1265688134	20240928	202409	2024	2024.7342	MLI	MALI	MLI								UKR	UKRAINE	UKR								1	161	161	16	4	-4.0	4	1	4	-8.4388185654008	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	20250928164500	http://www.bignewsnetwork.com/news/278605694/malian-pm-blasts-ukraine-as-supplier-of-kamikaze-drones-to-terrorists
1265688135	20240928	202409	2024	2024.7342	MLI	MALI	MLI								UKR	UKRAINE	UKR								1	161	161	16	4	-4.0	1	1	1	-8.4388185654008	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250928164500	http://www.bignewsnetwork.com/news/278605694/malian-pm-blasts-ukraine-as-supplier-of-kamikaze-drones-to-terrorists
1265688136	20240928	202409	2024	2024.7342	MLT	MALTA	MLT								BUS	BUSINESS						BUS			1	020	020	02	1	3.0	10	1	10	-0.19267822736031	4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	20250928164500	https://timesofmalta.com/article/alex-borg-pledges-15-corporate-tax-local-foreign-businesses.1116968
1265688137	20250829	202508	2025	2025.6548											IND	ASSAM	IND								1	042	042	04	1	1.9	7	1	7	-0.89820359281437	0								5	Nagaland, Nagaland, India	IN	IN20	17807	26	94.25	-2105305	5	Nagaland, Nagaland, India	IN	IN20	17807	26	94.25	-2105305	20250928164500	https://morungexpress.com/fact-of-times-and-tides
1265688138	20250829	202508	2025	2025.6548	IND	ASSAM	IND																		1	043	043	04	1	2.8	7	1	7	-0.89820359281437	4	Dima Hasao, Assam, India	IN	IN03	17591	25.5	93	-2106391	0								4	Dima Hasao, Assam, India	IN	IN03	17591	25.5	93	-2106391	20250928164500	https://morungexpress.com/fact-of-times-and-tides
1265688139	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								ITA	ITALY	ITA								0	073	073	07	2	7.4	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688140	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								ITA	ITALY	ITA								0	073	073	07	2	7.4	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688141	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								ITA	ITALY	ITA								0	073	073	07	2	7.4	6	1	6	-4.0880503144654	1	Spain	SP	SP		40	-4	SP	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688142	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	060	060	06	2	6.0	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688143	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	060	060	06	2	6.0	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688144	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	060	060	06	2	6.0	6	1	6	-4.0880503144654	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688145	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	072	072	07	2	8.3	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688146	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	072	072	07	2	8.3	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688147	20250921	202509	2025	2025.7151	ESP	SPAIN	ESP								MIL	MILITARY						MIL			0	072	072	07	2	8.3	6	1	6	-4.0880503144654	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688148	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								ESP	SPAIN	ESP								0	073	073	07	2	7.4	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688149	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								ESP	SPAIN	ESP								0	073	073	07	2	7.4	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688150	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								ESP	SPAIN	ESP								0	073	073	07	2	7.4	6	1	6	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688151	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								MIL	MILITARY						MIL			0	060	060	06	2	6.0	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688152	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								MIL	MILITARY						MIL			0	060	060	06	2	6.0	8	1	8	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688153	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								MIL	MILITARY						MIL			0	072	072	07	2	8.3	2	1	2	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250928164500	https://www.arabnews.com/node/2617077/world
1265688154	20250921	202509	2025	2025.7151	ITA	ITALY	ITA								MIL	MILITARY						MIL			0	072	072	07	2	8.3	8	1	8	-4.0880503144654	1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250928164500	https://www.arabnews.com/node/2617077/world
1265688155	20250921	202509	2025	2025.7151	USA	UNITED STATES	USA								LEG	CONGRESS						LEG			0	173	173	17	4	-5.0	3	1	3	-4.38247011952191	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250928164500	https://nypost.com/2025/09/28/us-news/comeys-ex-no-2-andrew-mccabe-not-aware-of-him-authorizing-leaks/
1265688156	20250927	202509	2025	2025.7315	GOV	ADMINISTRATION						GOV			USA	ILLINOIS	USA								1	154	154	15	4	-7.2	6	1	6	-6.31001371742112	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250928164500	https://twitchy.com/grateful-calvin/2025/09/28/the-stupid-it-burns-bill-kristol-claims-that-american-cities-are-ice-ravaged-n2419635
1265688157	20250927	202509	2025	2025.7315	USAGOV	UNITED STATES	USA					GOV			USA	ILLINOIS	USA								1	154	154	15	4	-7.2	4	1	4	-6.31001371742112	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250928164500	https://twitchy.com/grateful-calvin/2025/09/28/the-stupid-it-burns-bill-kristol-claims-that-american-cities-are-ice-ravaged-n2419635
1265688158	20250928	202509	2025	2025.7342											AGR	FARMER						AGR			1	014	014	01	1	0.0	4	1	4	-1.06837606837606	0								4	Masbate, Masbate City, Philippines	RP	RPL1	24244	12.3687	123.622	-2438857	4	Masbate, Masbate City, Philippines	RP	RPL1	24244	12.3687	123.622	-2438857	20250928164500	https://www.manilatimes.net/2025/09/29/business/top-business/agri-damage-hits-p1-38b/2191675
1265688159	20250928	202509	2025	2025.7342											AGR	FARMER						AGR			1	014	014	01	1	0.0	1	1	1	-1.06837606837606	0								4	Pangulo, Romblon, Philippines	RP	RP54	24236	12.6233	122.077	-2444434	4	Pangulo, Romblon, Philippines	RP	RP54	24236	12.6233	122.077	-2444434	20250928164500	https://www.manilatimes.net/2025/09/29/business/top-business/agri-damage-hits-p1-38b/2191675
1265688160	20250928	202509	2025	2025.7342											AGR	FARMER						AGR			1	043	043	04	1	2.8	6	1	6	-1.80305131761443	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250928164500	https://www.tribuneindia.com/news/punjab/punjab-govt-launches-mass-outreach-to-curb-stubble-burning-promote-eco-friendly-farming/
1265688161	20250928	202509	2025	2025.7342											AGR	FARMER						AGR			1	043	043	04	1	2.8	4	1	4	-1.80305131761443	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20250928164500	https://www.tribuneindia.com/news/punjab/punjab-govt-launches-mass-outreach-to-curb-stubble-burning-promote-eco-friendly-farming/
1265688162	20250928	202509	2025	2025.7342											ALB	ALBANIA	ALB								0	190	190	19	4	-10.0	4	1	4	-3.6734693877551	0								4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	20250928164500	https://www.gazetaexpress.com/en/corriere-della-sera-deklaratat-kontradiktore-per-vrasjen-e-biznesmenit-edoardo-sarchi-ne-shqiperi/
1265688163	20250928	202509	2025	2025.7342											BEL	BELGIUM	BEL								1	045	045	04	1	5.0	10	1	10	-0.38167938931298	0								4	Schaerbeek, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.85	4.38333	-1969298	4	Schaerbeek, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.85	4.38333	-1969298	20250928164500	https://www.thebulletin.be/train-world-welcomes-millionth-visitor-amid-decline-attendance
1265688164	20250928	202509	2025	2025.7342											BUS	INVESTOR						BUS			0	036	036	03	1	4.0	20	4	20	0.400720089013917	0								3	Silver Lake, Washington, United States	US	USWA		46.2973	-122.811	1508354	3	Silver Lake, Washington, United States	US	USWA		46.2973	-122.811	1508354	20250928164500	http://www.azerbaijannews.net/news/278603397/trump-clears-tiktok-sale-new-us-company-valued-at-usd14-billion
1265688165	20250928	202509	2025	2025.7342											BUS	ENTREPRENEUR						BUS			1	040	040	04	1	1.0	10	1	10	9.09090909090909	0								4	Bulandshahr, Uttar Pradesh, India	IN	IN36	17901	28.4	77.85	-2092394	4	Bulandshahr, Uttar Pradesh, India	IN	IN36	17901	28.4	77.85	-2092394	20250928164500	https://www.indiatimes.com/trending/upits-2025-entrepreneurs-thank-cm-yogi-adityanath-for-global-market-access/articleshow/124196113.html
1265688166	20250928	202509	2025	2025.7342											BUS	COMPANIES						BUS			1	057	057	05	1	8.0	10	1	10	9.58466453674125	0								1	Mauritius	MP	MP		16	146	MP	4	Kanpur, Uttar Pradesh, India	IN	IN36	70269	26.4667	80.35	-2099561	20250928164500	https://www.indiatimes.com/trending/upits-2025-women-entrepreneurs-gain-confidence-under-yogi-govts-initiative-671781.html
1265688167	20250928	202509	2025	2025.7342											BUS	COMPANIES						BUS			1	061	061	06	2	6.4	1	1	1	-4.55089820359281	0								4	Dead Sea, Israel (general), Israel	IS	IS00	65745	31.5	35.5	-779554	4	Dead Sea, Israel (general), Israel	IS	IS00	65745	31.5	35.5	-779554	20250928164500	https://antonyloewenstein.com/selective-bds-understanding-not-by-chance-in-australian-corporate-media/
1265688168	20250928	202509	2025	2025.7342											CAN	CANADA	CAN								1	042	042	04	1	1.9	4	1	4	3.74331550802139	0								4	Park Dale, Prince Edward Island, Canada	CA	CA09	12692	46.25	-63.1167	-570919	4	Park Dale, Prince Edward Island, Canada	CA	CA09	12692	46.25	-63.1167	-570919	20250928164500	https://www.communitypress.ca:443/news/naturalists-tree-planting-park-belleville
1265688169	20250928	202509	2025	2025.7342											CHRLDS	LATTER DAY SAINTS				CHR	LDS				1	190	190	19	4	-10.0	10	1	10	-5.56701030927835	0								3	Genesee County, Michigan, United States	US	USMI		43.0334	-83.6833	1622967	3	Genesee County, Michigan, United States	US	USMI		43.0334	-83.6833	1622967	20250928164500	https://redstate.com/smoosieq/2025/09/28/breaking-reports-of-active-shooterfire-at-michigan-church-n2194489
1265688170	20250928	202509	2025	2025.7342											COP	POLICE						COP			1	043	043	04	1	2.8	10	1	10	-11.4427860696517	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250928164500	https://www.courant.com/2025/09/28/man-extradited-from-arizona-charged-in-fatal-hit-and-run-ct-crash/
1265688171	20250928	202509	2025	2025.7342											COP	POLICE						COP			1	080	080	08	2	5.0	10	1	10	-11.4427860696517	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250928164500	https://www.courant.com/2025/09/28/man-extradited-from-arizona-charged-in-fatal-hit-and-run-ct-crash/
