1266180349	20241001	202410	2024	2024.7425	MNCIRL	RYANAIR	IRL					MNC			DNK	AARHUS	DNK								0	0874	087	08	2	10.0	10	1	10	-0.61099796334012	4	Billund, Syddanmark, Denmark	DA	DA21	15165	55.258	9.28056	-2739908	4	Billund, Syddanmark, Denmark	DA	DA21	15165	55.258	9.28056	-2739908	4	Billund, Syddanmark, Denmark	DA	DA21	15165	55.258	9.28056	-2739908	20251001081500	https://www.thelocal.dk/20251001/today-in-denmark-a-roundup-of-the-news-on-wednesday-184
1266180350	20250924	202509	2025	2025.7233	BUS	COMPANY						BUS			USA	LAS VEGAS	USA								1	042	042	04	1	1.9	10	1	10	5.12820512820513	0								0								0								20251001081500	https://www.intergameonline.com/casino/news/bmm-testlabs-secures-full-us-class-iii-access
1266180351	20250924	202509	2025	2025.7233	LEG	GENERAL ASSEMBLY						LEG													0	129	129	12	3	-5.0	3	1	3	-7.93388429752066	3	Brunswick County, North Carolina, United States	US	USNC	NC019	34.0668	-78.2664	1026340	0								3	Brunswick County, North Carolina, United States	US	USNC		34.0668	-78.2664	1026340	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180352	20250924	202509	2025	2025.7233	LEG	CONGRESS						LEG			ISRCVL	ISRAEL	ISR					CVL			1	012	012	01	1	-0.4	4	1	4	-3.81471389645776	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251001081500	https://indianexpress.com/article/cities/delhi/pm-silence-atrocities-gaza-betrayal-india-stood-congress-10281848/
1266180353	20250924	202509	2025	2025.7233	LEG	CONGRESS						LEG			PSECVL	GAZA	PSE					CVL			1	012	012	01	1	-0.4	6	1	6	-3.81471389645776	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251001081500	https://indianexpress.com/article/cities/delhi/pm-silence-atrocities-gaza-betrayal-india-stood-congress-10281848/
1266180354	20250924	202509	2025	2025.7233	LEG	GENERAL ASSEMBLY						LEG			USA	UNITED STATES	USA								0	129	129	12	3	-5.0	3	1	3	-7.93388429752066	3	Brunswick County, North Carolina, United States	US	USNC	NC019	34.0668	-78.2664	1026340	3	Brunswick County, North Carolina, United States	US	USNC		34.0668	-78.2664	1026340	3	Brunswick County, North Carolina, United States	US	USNC		34.0668	-78.2664	1026340	20251001081500	https://www.wect.com/2025/10/01/is-death-penalty-table-alleged-southport-shooter-da-isnt-ruling-it-out/
1266180355	20250924	202509	2025	2025.7233	USA	LAS VEGAS	USA								BUS	COMPANY						BUS			1	043	043	04	1	2.8	10	1	10	5.12820512820513	0								0								0								20251001081500	https://www.intergameonline.com/casino/news/bmm-testlabs-secures-full-us-class-iii-access
1266180356	20250930	202509	2025	2025.7397	AUS	AUSSIE	AUS																		1	010	010	01	1	0.0	5	1	5	-0.8	1	New Zealand	NZ	NZ		-42	174	NZ	0								1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180357	20250930	202509	2025	2025.7397	CAN	CANADA	CAN								AUS	AUSSIE	AUS								1	010	010	01	1	0.0	5	1	5	-0.8	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180358	20250930	202509	2025	2025.7397	CAN	CANADA	CAN								NZL	NEW ZEALAND	NZL								1	010	010	01	1	0.0	1	1	1	-0.8	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180359	20250930	202509	2025	2025.7397	CAN	CANADA	CAN								NZL	NEW ZEALAND	NZL								1	010	010	01	1	0.0	4	1	4	-0.8	1	Canada	CA	CA		60	-96	CA	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180360	20250930	202509	2025	2025.7397	FIN	FINLAND	FIN								EURMED	EUROPE	EUR					MED			1	013	013	01	1	0.4	2	1	2	-2.53565768621236	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20251001081500	https://www.euronews.com/my-europe/2025/10/01/eu-drone-wall-keep-calm-and-prepare-expert-says
1266180361	20250930	202509	2025	2025.7397	FINGOV	FINNISH	FIN					GOV			EURMED	EUROPE	EUR					MED			1	010	010	01	1	0.0	6	1	6	-2.53565768621236	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20251001081500	https://www.euronews.com/my-europe/2025/10/01/eu-drone-wall-keep-calm-and-prepare-expert-says
1266180362	20250930	202509	2025	2025.7397	FINGOV	FINLAND	FIN					GOV			EURMED	EUROPE	EUR					MED			1	013	013	01	1	0.4	2	1	2	-2.53565768621236	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20251001081500	https://www.euronews.com/my-europe/2025/10/01/eu-drone-wall-keep-calm-and-prepare-expert-says
1266180363	20250930	202509	2025	2025.7397	NZL	NEW ZEALAND	NZL								AUS	AUSSIE	AUS								1	010	010	01	1	0.0	1	1	1	-0.8	1	Canada	CA	CA		60	-96	CA	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180364	20250930	202509	2025	2025.7397	NZL	NEW ZEALAND	NZL								AUS	AUSSIE	AUS								1	010	010	01	1	0.0	4	1	4	-0.8	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180365	20250930	202509	2025	2025.7397	NZL	NEW ZEALAND	NZL								CAN	CANADA	CAN								1	010	010	01	1	0.0	1	1	1	-0.8	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180366	20250930	202509	2025	2025.7397	NZL	NEW ZEALAND	NZL								CAN	CANADA	CAN								1	010	010	01	1	0.0	4	1	4	-0.8	1	New Zealand	NZ	NZ		-42	174	NZ	1	Canada	CA	CA		60	-96	CA	1	New Zealand	NZ	NZ		-42	174	NZ	20251001081500	https://www.finanznachrichten.de/nachrichten-2025-10/66586009-australian-dollar-falls-against-majors-020.htm
1266180367	20251001	202510	2025	2025.7425											AFR	AFRICA	AFR								0	043	043	04	1	2.8	10	1	10	5.8165548098434	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251001081500	http://www.businessghana.com/site/news/general/335495/Africa-Quantum-Summit-2025-to-position-continent-as-key-player-in-global-quantum-technology-lands...
1266180368	20251001	202510	2025	2025.7425											AFR	AFRICA	AFR								0	051	051	05	1	3.4	5	1	5	3.2520325203252	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251001081500	https://www.esi-africa.com/news/push-for-g20-to-back-inclusive-energy-systems-for-africa/
1266180369	20251001	202510	2025	2025.7425											AFR	AFRICA	AFR								1	190	190	19	4	-10.0	5	1	5	3.2520325203252	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251001081500	https://www.esi-africa.com/news/push-for-g20-to-back-inclusive-energy-systems-for-africa/
1266180370	20251001	202510	2025	2025.7425											ARE	ABU DHABI	ARE								1	051	051	05	1	3.4	10	1	10	4.05405405405405	0								1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20251001081500	https://www.marketscreener.com/news/archer-aviation-q1-25-shareholder-letter-ce7d5bd9d88ff724
