1266797860	20241004	202410	2024	2024.7507	FRA	VERSAILLES	FRA								ARE	ABU DHABI	ARE								1	051	051	05	1	3.4	8	1	8	11.6182572614108	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	20251004140000	https://tradearabia.com:443/News/437282/Zayed-International-Airport-wins-big-at-Cannes-event
1266797861	20250904	202509	2025	2025.6685	USA	PHILADELPHIA	USA								USACOP	UNITED STATES	USA					COP			1	084	084	08	2	7.0	4	1	4	-7.01754385964912	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251004140000	https://www.nbcphiladelphia.com/news/local/shooting-suspect-wanted-bristol-street-germantown-avenue-philadelphia/4280099/
1266797862	20250904	202509	2025	2025.6685	USA	PHILADELPHIA	USA								USACOP	UNITED STATES	USA					COP			1	112	112	11	3	-2.0	4	1	4	-7.01754385964912	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251004140000	https://www.nbcphiladelphia.com/news/local/shooting-suspect-wanted-bristol-street-germantown-avenue-philadelphia/4280099/
1266797863	20250904	202509	2025	2025.6685	USA	PHILADELPHIA	USA								USACOP	UNITED STATES	USA					COP			1	193	193	19	4	-10.0	4	1	4	-7.01754385964912	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251004140000	https://www.nbcphiladelphia.com/news/local/shooting-suspect-wanted-bristol-street-germantown-avenue-philadelphia/4280099/
1266797864	20250904	202509	2025	2025.6685	USACOP	PHILADELPHIA	USA					COP													1	084	084	08	2	7.0	6	1	6	-7.01754385964912	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251004140000	https://www.nbcphiladelphia.com/news/local/shooting-suspect-wanted-bristol-street-germantown-avenue-philadelphia/4280099/
1266797865	20250904	202509	2025	2025.6685	USACOP	PHILADELPHIA	USA					COP													1	193	193	19	4	-10.0	6	1	6	-7.01754385964912	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251004140000	https://www.nbcphiladelphia.com/news/local/shooting-suspect-wanted-bristol-street-germantown-avenue-philadelphia/4280099/
1266797866	20250927	202509	2025	2025.7315	AFR	AFRICA	AFR																		1	020	020	02	1	3.0	4	1	4	-2.41935483870968	4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	0								4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	20251004140000	https://www.ewn.co.za/2025/10/04/codeta-anticipating-to-court-judgement-on-application-to-reverse-closure-of-some-ct-taxi-routes
1266797867	20250927	202509	2025	2025.7315	AFR	AFRICA	AFR								ZAF	CAPE TOWN	ZAF								1	020	020	02	1	3.0	4	1	4	-2.41935483870968	4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	20251004140000	https://www.ewn.co.za/2025/10/04/codeta-anticipating-to-court-judgement-on-application-to-reverse-closure-of-some-ct-taxi-routes
1266797868	20250927	202509	2025	2025.7315	ZAF	CAPE TOWN	ZAF																		1	020	020	02	1	3.0	2	1	2	-2.41935483870968	4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	0								4	Somerset West, Western Cape, South Africa	SF	SF11	77338	-34.0794	18.857	-1285082	20251004140000	https://www.ewn.co.za/2025/10/04/codeta-anticipating-to-court-judgement-on-application-to-reverse-closure-of-some-ct-taxi-routes
1266797869	20251004	202510	2025	2025.7507											AGR	FARMER						AGR			0	054	054	05	1	6.0	5	1	5	1.68393782383419	0								5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	20251004140000	https://www.thehindu.com/data/more-women-employed-in-agriculture-but-half-of-them-are-unpaid/article70124571.ece
1266797870	20251004	202510	2025	2025.7507											ARE	UNITED ARAB EMIRATES	ARE								1	173	173	17	4	-5.0	4	1	4	-5.25394045534151	0								4	Highbury, Islington, United Kingdom	UK	UKG3	40110	51.55	-0.1	-2598646	4	Highbury, Islington, United Kingdom	UK	UKG3	40110	51.55	-0.1	-2598646	20251004140000	https://www.mirror.co.uk/news/uk-news/teen-charged-after-death-marcus-36014407
1266797871	20251004	202510	2025	2025.7507											BHS	NASSAU	BHS								1	080	080	08	2	5.0	1	1	1	4.3173862310385	0								3	Black River, New York, United States	US	USNY		44.0126	-75.7944	944178	3	Black River, New York, United States	US	USNY		44.0126	-75.7944	944178	20251004140000	https://calgaryherald.com:443/life/food/going-to-the-source-of-appleton-estates-jamaican-rums
1266797872	20251004	202510	2025	2025.7507											BRBGOV	BARBADOS	BRB					GOV			1	190	190	19	4	-10.0	5	1	5	-2.38095238095238	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20251004140000	https://www.cbc.bb/news/local-news/fire-officers-battling-early-morning-blaze/
1266797873	20251004	202510	2025	2025.7507											BUS	COMPANIES						BUS			0	046	046	04	1	7.0	6	1	6	-1.53321976149914	0								3	West Fargo, North Dakota, United States	US	USND		46.875	-96.9004	1032733	3	West Fargo, North Dakota, United States	US	USND		46.875	-96.9004	1032733	20251004140000	https://www.inforum.com/news/west-fargo/west-fargo-joins-suit-against-purdue-pharma-move-helps-state-get-larger-piece-of-settlement-pie
1266797874	20251004	202510	2025	2025.7507											BUS	COMPANY						BUS			1	062	062	06	2	7.4	20	2	20	-0.151975683890575	0								4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20251004140000	https://news.webindia123.com/news/Articles/World/20251004/4368868.html
1266797875	20251004	202510	2025	2025.7507											CHE	SWITZERLAND	CHE								0	043	043	04	1	2.8	2	1	2	3.33796940194715	0								4	Lugano, Ticino, Switzerland	SZ	SZ20	26305	46.0062	8.95114	-2552969	4	Lugano, Ticino, Switzerland	SZ	SZ20	26305	46.0062	8.95114	-2552969	20251004140000	https://artlyst.com/features/liking-lugano-an-art-travelogue-paul-carey-kent/
1266797876	20251004	202510	2025	2025.7507											COP	PRISON						COP			1	043	043	04	1	2.8	3	1	3	-6.46817248459959	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251004140000	https://www.oxygen.com/crime-news/ted-bundy-how-he-was-caught-crucial-evidence
1266797877	20251004	202510	2025	2025.7507											COP	DETECTIVE						COP			1	046	046	04	1	7.0	4	1	4	-7.80911062906724	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251004140000	https://www.oxygen.com/the-death-investigator-with-barbara-butcher/crime-news/stephen-leungs-death-explored-on-the-death
1266797878	20251004	202510	2025	2025.7507											COP	POLICE						COP			0	112	112	11	3	-2.0	1	1	1	-9.44881889763779	0								4	Pesalai, Northern, Sri Lanka	CE	CE38	25841	9.08333	79.8167	-2233539	4	Pesalai, Northern, Sri Lanka	CE	CE38	25841	9.08333	79.8167	-2233539	20251004140000	https://www.tamilguardian.com/content/suspect-found-dead-police-custody-pesalai-station-mannar
1266797879	20251004	202510	2025	2025.7507											CUB	CUBA	CUB								0	163	163	16	4	-8.0	10	1	10	-3.01003344481605	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20251004140000	https://www.cubaheadlines.com/articles/312261
1266797880	20251004	202510	2025	2025.7507											CVL	VILLAGE						CVL			0	042	042	04	1	1.9	2	1	2	-5.36702767749699	0								4	Tierra Caliente, Oaxaca, Mexico	MX	MX20	20576	17.0597	-97.0031	6224926	4	Tierra Caliente, Oaxaca, Mexico	MX	MX20	20576	17.0597	-97.0031	6224926	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797881	20251004	202510	2025	2025.7507											CVL	VILLAGE						CVL			0	042	042	04	1	1.9	16	1	10	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797882	20251004	202510	2025	2025.7507											CVL	VILLAGE						CVL			0	060	060	06	2	6.0	2	1	2	-5.36702767749699	0								4	Tierra Caliente, Oaxaca, Mexico	MX	MX20	20576	17.0597	-97.0031	6224926	4	Tierra Caliente, Oaxaca, Mexico	MX	MX20	20576	17.0597	-97.0031	6224926	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797883	20251004	202510	2025	2025.7507											CVL	VILLAGE						CVL			0	060	060	06	2	6.0	8	1	8	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797884	20251004	202510	2025	2025.7507											CVLHLH	COMMUNITY						CVL	HLH		1	046	046	04	1	7.0	10	1	10	7.35294117647059	0								0								0								20251004140000	http://mscnews.net/positiveVibes/?psvk=946
