1267393704	20241008	202410	2024	2024.7616	FRA	FRENCH	FRA								MAR	MOROCCO	MAR								1	061	061	06	2	6.4	8	1	8	0	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20251008061500	https://www.ecofinagency.com/news-agriculture/0810-49364-moroccos-wheat-imports-set-for-a-french-surge-with-64-share-in-sight-for-2025/26
1267393705	20250908	202509	2025	2025.6795	THA	THAILAND	THA																		1	171	171	17	4	-9.2	2	1	2	-4.7008547008547	4	Chakkarat, Nakhon Ratchasima, Thailand	TH	TH27	26702	15.0135	102.413	-3233546	0								4	Chakkarat, Nakhon Ratchasima, Thailand	TH	TH27	26702	15.0135	102.413	-3233546	20251008061500	https://www.bangkokpost.com/thailand/general/3117696/veteran-naked-burglar-arrested
1267393706	20250908	202509	2025	2025.6795	THA	THAILAND	THA																		1	171	171	17	4	-9.2	2	1	2	-4.7008547008547	4	Khon Buri, Nakhon Ratchasima, Thailand	TH	TH27	26710	14.5254	102.246	-3249399	0								4	Khon Buri, Nakhon Ratchasima, Thailand	TH	TH27	26710	14.5254	102.246	-3249399	20251008061500	https://www.bangkokpost.com/thailand/general/3117696/veteran-naked-burglar-arrested
1267393707	20251001	202510	2025	2025.7425	DNK	DANISH	DNK								EURMIL	EUROPEAN	EUR					MIL			0	020	020	02	1	3.0	1	1	1	-4.40627333831218	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393708	20251001	202510	2025	2025.7425	DNK	DENMARK	DNK								EURMIL	EUROPEAN	EUR					MIL			0	020	020	02	1	3.0	2	1	2	-4.40627333831218	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393709	20251001	202510	2025	2025.7425	DNK	DANISH	DNK								EURMIL	EUROPEAN	EUR					MIL			0	020	020	02	1	3.0	5	1	5	-4.40627333831218	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	France	FR	FR		46	2	FR	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393710	20251001	202510	2025	2025.7425	FRA	FRENCH	FRA								BUS	OIL TANKER						BUS			0	112	112	11	3	-2.0	2	1	2	-4.40627333831218	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393711	20251001	202510	2025	2025.7425	FRA	FRENCH	FRA								BUS	OIL TANKER						BUS			0	112	112	11	3	-2.0	2	1	2	-4.40627333831218	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393712	20251001	202510	2025	2025.7425	FRA	FRENCH	FRA								DNK	DENMARK	DNK								1	1723	172	17	4	-5.0	4	1	4	-4.40627333831218	1	France	FR	FR		46	2	FR	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393713	20251001	202510	2025	2025.7425	FRA	FRENCH	FRA								UKR	UKRAINE	UKR								0	163	163	16	4	-8.0	2	1	2	-4.40627333831218	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393714	20251001	202510	2025	2025.7425	FRA	FRENCH	FRA								UKR	UKRAINE	UKR								0	163	163	16	4	-8.0	2	1	2	-4.40627333831218	1	France	FR	FR		46	2	FR	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
1267393715	20251001	202510	2025	2025.7425	FRAGOV	FRENCH	FRA					GOV			BUS	OIL TANKER						BUS			0	112	112	11	3	-2.0	6	1	6	-4.40627333831218	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251008061500	https://www.independent.co.uk/news/world/europe/ukraine-russia-war-trump-putin-zelensky-drones-map-latest-b2841379.html
