1267606441	20250909	202509	2025	2025.6822	AFG	AFGHAN	AFG								IGOUNO	UN SECURITY COUNCIL		UNO				IGO			0	172	172	17	4	-5.0	1	1	1	-1.37741046831956	4	Taj Mahal, Uttar Pradesh, India	IN	IN36	70264	27.1667	78.05	-2112378	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20251009070000	https://www.thehindubusinessline.com/news/afghan-foreign-minister-arrives-in-delhi-on-first-visit-after-taliban-took-power/article70142557.ece
1267606442	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								USAELI	UNITED STATES	USA					ELI			1	051	051	05	1	3.4	4	1	4	5.10948905109489	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251009070000	https://www.keysnews.com/news/mile_markers/city-honors-former-mayor/article_c79c136b-c225-4d3f-86dc-fd2cf49ddd7b.html
1267606443	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			1	051	051	05	1	3.4	2	1	2	5.10948905109489	3	Key West, Florida, United States	US	USFL	FL087	24.5557	-81.7826	294048	3	Key West, Florida, United States	US	USFL		24.5557	-81.7826	294048	3	Key West, Florida, United States	US	USFL		24.5557	-81.7826	294048	20251009070000	https://www.keysnews.com/news/mile_markers/city-honors-former-mayor/article_c79c136b-c225-4d3f-86dc-fd2cf49ddd7b.html
1267606444	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			1	051	051	05	1	3.4	2	1	2	5.10948905109489	3	Key West, Florida, United States	US	USFL	FL087	24.5557	-81.7826	294048	3	Key West, Florida, United States	US	USFL		24.5557	-81.7826	294048	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251009070000	https://www.keysnews.com/news/mile_markers/city-honors-former-mayor/article_c79c136b-c225-4d3f-86dc-fd2cf49ddd7b.html
1267606445	20251008	202510	2025	2025.7616	GOV	PRESIDENT						GOV			LEG	HOUSE SPEAKER						LEG			0	040	040	04	1	1.0	4	1	4	-0.83160083160083	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20251009070000	https://www.keysnews.com/ap/national/federal-government-shutdown-grinds-into-a-second-week-but-quiet-talks-emerging/article_82173b22-3643-5c87-a321-2c3cd4aef18b.html
1267606446	20251008	202510	2025	2025.7616	GOV	PRESIDENT						GOV			LEG	HOUSE SPEAKER						LEG			0	040	040	04	1	1.0	2	1	2	-0.83160083160083	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20251009070000	https://www.keysnews.com/ap/national/federal-government-shutdown-grinds-into-a-second-week-but-quiet-talks-emerging/article_82173b22-3643-5c87-a321-2c3cd4aef18b.html
1267606447	20251008	202510	2025	2025.7616	LEG	HOUSE SPEAKER						LEG			GOV	PRESIDENT						GOV			0	040	040	04	1	1.0	4	1	4	-0.83160083160083	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20251009070000	https://www.keysnews.com/ap/national/federal-government-shutdown-grinds-into-a-second-week-but-quiet-talks-emerging/article_82173b22-3643-5c87-a321-2c3cd4aef18b.html
1267606448	20251008	202510	2025	2025.7616	LEG	HOUSE SPEAKER						LEG			GOV	PRESIDENT						GOV			0	040	040	04	1	1.0	2	1	2	-0.83160083160083	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20251009070000	https://www.keysnews.com/ap/national/federal-government-shutdown-grinds-into-a-second-week-but-quiet-talks-emerging/article_82173b22-3643-5c87-a321-2c3cd4aef18b.html
1267606449	20251009	202510	2025	2025.7644											AFG	AFGHANISTAN	AFG								1	036	036	03	1	4.0	2	1	2	0.40849673202614	0								4	Bagram, Parvan, Afghanistan	AF	AF40	99925	34.9669	69.265	-3369796	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251009070000	https://thearabianpost.com/indias-opposition-to-trump-bid-to-take-over-bagram-airbase-has-special-significance/
1267606450	20251009	202510	2025	2025.7644											AFG	AFGHANISTAN	AFG								1	042	042	04	1	1.9	2	1	2	0.40849673202614	0								4	Bagram, Parvan, Afghanistan	AF	AF40	99925	34.9669	69.265	-3369796	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251009070000	https://thearabianpost.com/indias-opposition-to-trump-bid-to-take-over-bagram-airbase-has-special-significance/
1267606451	20251009	202510	2025	2025.7644											AFG	AFGHAN	AFG								0	043	043	04	1	2.8	2	1	2	0.40849673202614	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251009070000	https://thearabianpost.com/indias-opposition-to-trump-bid-to-take-over-bagram-airbase-has-special-significance/
