1267709673	20151012	201510	2015	2015.7726	VNM	VIETNAM	VNM								LAO	LAOS	LAO								1	051	051	05	1	3.4	2	1	2	11.4864864864865	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20251009171500	https://en.vietnamplus.vn/vietnam-laos-strengthen-cooperation-across-multiple-fields-post330146.vnp
1267709674	20241009	202410	2024	2024.7644											GBRGOV	UNITED KINGDOM	GBR					GOV			1	042	042	04	1	1.9	6	2	6	-1.0872331373479	0								4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709675	20241009	202410	2024	2024.7644	BUS	LANDLORD						BUS													1	100	100	10	3	-5.0	10	1	10	-3.98406374501992	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20251009171500	https://www.stltoday.com/news/local/business/article_00a32022-91d8-42c7-bbab-7ccd1249e3c9.html
1267709676	20241009	202410	2024	2024.7644	GBR	BRITISH	GBR								GBRGOV	UNITED KINGDOM	GBR					GOV			1	042	042	04	1	1.9	1	1	1	-1.09018830525273	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709677	20241009	202410	2024	2024.7644	GBR	UNITED KINGDOM	GBR								GBRGOV	UNITED KINGDOM	GBR					GOV			1	042	042	04	1	1.9	2	2	2	-1.0872331373479	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709678	20241009	202410	2024	2024.7644	GBRGOV	UNITED KINGDOM	GBR					GOV													1	043	043	04	1	2.8	6	2	6	-1.0872331373479	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709679	20241009	202410	2024	2024.7644	GBRGOV	UNITED KINGDOM	GBR					GOV			GBR	BRITISH	GBR								1	043	043	04	1	2.8	2	2	2	-1.0872331373479	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709680	20241009	202410	2024	2024.7644	GBRGOV	UNITED KINGDOM	GBR					GOV			GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	2	2	-1.0872331373479	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709681	20241009	202410	2024	2024.7644	IRL	IRELAND	IRL																		0	051	051	05	1	3.4	4	1	4	1.42302716688228	4	Tralee, Kerry, Ireland	EI	EI11	18290	52.2667	-9.71667	-1506015	0								4	Tralee, Kerry, Ireland	EI	EI11	18290	52.2667	-9.71667	-1506015	20251009171500	https://www.independent.ie/irish-news/ray-darcy-hugely-disappointed-with-rte-as-shock-departure-from-radio-1-is-confirmed/a306685702.html
1267709682	20241009	202410	2024	2024.7644	IRL	IRELAND	IRL																		0	070	070	07	2	7.0	4	1	4	1.42302716688228	4	Tralee, Kerry, Ireland	EI	EI11	18290	52.2667	-9.71667	-1506015	0								4	Tralee, Kerry, Ireland	EI	EI11	18290	52.2667	-9.71667	-1506015	20251009171500	https://www.independent.ie/irish-news/ray-darcy-hugely-disappointed-with-rte-as-shock-departure-from-radio-1-is-confirmed/a306685702.html
1267709683	20250909	202509	2025	2025.6822											bre	BRETON			bre						1	112	112	11	3	-2.0	20	1	10	-2.8328611898017	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251009171500	https://www.saltwire.com/cape-breton/cape-breton-man-accused-of-arson-expected-to-enter-pleas
