1267787732	20250910	202509	2025	2025.6849	GBRCOP	LONDON	GBR					COP			COP	POLICE						COP			0	190	190	19	4	-10.0	12	1	12	-7.76081424936387	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251010014500	https://home.nzcity.co.nz/news/article.aspx?id=431795&fm=psp,tsf
1267787733	20250910	202509	2025	2025.6849	LAB	EMPLOYEE						LAB			ISR	ISRAEL	ISR								0	113	113	11	3	-2.0	3	1	3	-5.43633762517882	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/amazon-intifada-employees-n2664713
1267787734	20250910	202509	2025	2025.6849	LAB	EMPLOYEE						LAB			ISR	ISRAEL	ISR								0	113	113	11	3	-2.0	2	1	2	-5.43633762517882	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	West Bank	WE	WE		31.666667	35.25	WE	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/amazon-intifada-employees-n2664713
1267787735	20250910	202509	2025	2025.6849	LAB	EMPLOYEE						LAB			ISR	ISRAEL	ISR								0	163	163	16	4	-8.0	5	1	5	-5.43633762517882	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/amazon-intifada-employees-n2664713
1267787736	20250910	202509	2025	2025.6849	PSE	WEST BANK	PSE								ISR	ISRAEL	ISR								0	113	113	11	3	-2.0	2	1	2	-5.43633762517882	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	West Bank	WE	WE		31.666667	35.25	WE	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/amazon-intifada-employees-n2664713
1267787737	20250910	202509	2025	2025.6849	PSE	WEST BANK	PSE								ISR	ISRAEL	ISR								0	163	163	16	4	-8.0	2	1	2	-5.43633762517882	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/amazon-intifada-employees-n2664713
1267787738	20250910	202509	2025	2025.6849	USA	UNITED STATES	USA								ISR	ISRAEL	ISR								0	014	014	01	1	0.0	1	1	1	-0.48262548262548	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://www.nbcnews.com/politics/donald-trump/israel-hamas-ceasefire-deal-came-together-rcna236789
1267787739	20250910	202509	2025	2025.6849	USA	UNITED STATES	USA								ISR	ISRAEL	ISR								0	014	014	01	1	0.0	1	1	1	-0.48262548262548	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251010014500	https://www.nbcnews.com/politics/donald-trump/israel-hamas-ceasefire-deal-came-together-rcna236789
1267787740	20250910	202509	2025	2025.6849	USA	UNITED STATES	USA								ISR	ISRAEL	ISR								0	020	020	02	1	3.0	1	1	1	-0.48262548262548	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://www.nbcnews.com/politics/donald-trump/israel-hamas-ceasefire-deal-came-together-rcna236789
1267787741	20251009	202510	2025	2025.7644	ISR	ISRAEL	ISR								PSEREB	HAMAS	PSE					REB			1	057	057	05	1	8.0	2	1	2	6.17283950617284	1	United Kingdom	UK	UK		54	-4	UK	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251010014500	https://townhall.com/tipsheet/amy-curtis/2025/10/09/randy-fine-nobel-peace-prize-n2664741
1267787742	20251009	202510	2025	2025.7644	SGP	SINGAPORE	SGP								LEG	REPRESENTATIVES						LEG			0	031	031	03	1	5.2	10	1	10	6.33093525179856	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20251010014500	https://www.scoop.co.nz/stories/BU2510/S00170/nzte-and-enterprise-singapore-deepen-collaboration-with-enhanced-partnership-for-growth.htm
