1267998497	20151014	201510	2015	2015.7781	BUS	INVESTOR						BUS			NGA	NIGERIA	NGA								0	010	010	01	1	0.0	10	1	10	2.10643015521064	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20251011040000	https://peoplesdailyng.com/energy-scholar-prof-josiah-danladi-lauds-tinubus-administration-reforms-in-oil-and-gas-upstream/
1267998498	20241011	202410	2024	2024.7699	CHN	BEIJING	CHN								KOR	SOUTH KOREA	KOR								1	1724	172	17	4	-5.0	10	1	10	-2.74509803921569	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20251011040000	https://www.scmp.com/news/china/diplomacy/article/3328415/are-anti-china-protests-putting-south-koreas-fragile-reset-beijing-risk
1267998499	20250911	202509	2025	2025.6877											JUD	JUDGE						JUD			1	020	020	02	1	3.0	5	1	5	-5.82677165354331	0								3	Thurston County, Washington, United States	US	USWA		46.9165	-122.818	1529226	3	Thurston County, Washington, United States	US	USWA		46.9165	-122.818	1529226	20251011040000	http://www.chronline.com/stories/another-lawsuit-filed-over-washington-states-new-taxes-on-services,388935
1267998500	20250911	202509	2025	2025.6877											JUD	JUDGE						JUD			1	110	110	11	3	-2.0	5	1	5	-5.82677165354331	0								3	Thurston County, Washington, United States	US	USWA		46.9165	-122.818	1529226	3	Thurston County, Washington, United States	US	USWA		46.9165	-122.818	1529226	20251011040000	http://www.chronline.com/stories/another-lawsuit-filed-over-washington-states-new-taxes-on-services,388935
1267998501	20251004	202510	2025	2025.7507	KENOPP	KENYAN	KEN					OPP			UGA	UGANDA	UGA								1	181	181	18	4	-9.0	3	1	3	-0.71428571428572	1	Kenya	KE	KE		1	38	KE	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998502	20251004	202510	2025	2025.7507	KENOPP	KENYAN	KEN					OPP			UGAGOV	UGANDAN	UGA					GOV			1	0234	023	02	1	3.4	3	1	3	-0.71428571428572	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998503	20251004	202510	2025	2025.7507	KENOPP	KENYAN	KEN					OPP			UGAGOV	UGANDAN	UGA					GOV			1	084	084	08	2	7.0	3	1	3	-0.71428571428572	1	Kenya	KE	KE		1	38	KE	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998504	20251004	202510	2025	2025.7507	UGA	UGANDA	UGA								KEN	KENYA	KEN								1	181	181	18	4	-9.0	1	1	1	-0.71428571428572	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	1	Kenya	KE	KE		1	38	KE	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998505	20251004	202510	2025	2025.7507	UGA	UGANDA	UGA								KEN	KENYA	KEN								1	181	181	18	4	-9.0	1	1	1	-0.71428571428572	4	Kireka, Luwero, Uganda	UG	UGA9	18585	0.6	32.5833	-1730189	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998506	20251004	202510	2025	2025.7507	UGA	UGANDA	UGA								UGAGOV	UGANDA	UGA					GOV			1	0234	023	02	1	3.4	1	1	1	-0.71428571428572	4	Kampala, Kampala, Uganda	UG	UG37	18585	0.315556	32.5656	-1728891	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
1267998507	20251004	202510	2025	2025.7507	UGA	UGANDA	UGA								UGAGOV	UGANDA	UGA					GOV			1	0234	023	02	1	3.4	1	1	1	-0.71428571428572	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251011040000	https://www.standardmedia.co.ke/national/article/2001531568/family-pleads-for-release-of-two-activists-abducted-in-uganda
