1268020167	20241011	202410	2024	2024.7699	NZL	NEW ZEALANDER	NZL								AUS	AUSTRALIA	AUS								1	100	100	10	3	-5.0	4	1	4	2.71493212669683	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20251011081500	https://www.nzdoctor.co.nz/article/undoctored/govt-must-not-miss-chance-keep-bowel-screening-promise
1268020168	20251010	202510	2025	2025.7671	AUSGOV	AUSTRALIA	AUS					GOV			AUS	AUSTRALIA	AUS								0	090	090	09	2	-2.0	2	1	2	-7.22222222222222	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251011081500	https://www.tbsnews.net/world/conscience-captain-face-indefinite-detention-israel-unless-she-signs-waiver-1257696
1268020169	20251010	202510	2025	2025.7671	AUSGOV	AUSTRALIA	AUS					GOV			AUSLEG	AUSTRALIA	AUS					LEG			0	090	090	09	2	-2.0	2	1	2	-7.22222222222222	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251011081500	https://www.tbsnews.net/world/conscience-captain-face-indefinite-detention-israel-unless-she-signs-waiver-1257696
1268020170	20251010	202510	2025	2025.7671	AUSGOV	AUSTRALIA	AUS					GOV			LEG	SENATOR						LEG			0	090	090	09	2	-2.0	6	1	6	-7.22222222222222	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251011081500	https://www.tbsnews.net/world/conscience-captain-face-indefinite-detention-israel-unless-she-signs-waiver-1257696
1268020171	20251010	202510	2025	2025.7671	IGOUNO	UNITED NATIONS		UNO				IGO			ISR	ISRAEL	ISR								1	040	040	04	1	1.0	2	1	2	-6.22710622710622	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251011081500	https://www.egyptindependent.com/unicef-spokesperson-warns-of-irreversible-damage-of-trauma-on-gazas-children/
1268020172	20251010	202510	2025	2025.7671	IGOUNO	UNITED NATIONS		UNO				IGO			PSE	GAZA	PSE								1	040	040	04	1	1.0	3	1	3	-6.22710622710622	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251011081500	https://www.egyptindependent.com/unicef-spokesperson-warns-of-irreversible-damage-of-trauma-on-gazas-children/
1268020173	20251010	202510	2025	2025.7671	ISR	ISRAEL	ISR								IGOUNO	UNITED NATIONS		UNO				IGO			1	040	040	04	1	1.0	2	1	2	-6.22710622710622	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251011081500	https://www.egyptindependent.com/unicef-spokesperson-warns-of-irreversible-damage-of-trauma-on-gazas-children/
1268020174	20251010	202510	2025	2025.7671	PSE	GAZA	PSE								IGOUNO	UNITED NATIONS		UNO				IGO			1	040	040	04	1	1.0	3	1	3	-6.22710622710622	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251011081500	https://www.egyptindependent.com/unicef-spokesperson-warns-of-irreversible-damage-of-trauma-on-gazas-children/
1268020175	20251011	202510	2025	2025.7699											AFR	AFRICA	AFR								1	043	043	04	1	2.8	4	1	4	0.95693779904307	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20251011081500	https://www.citizen.co.za/entertainment/watch-lupe-fiasco-lands-in-sa-ahead-of-back-to-the-city-festival-performance/
1268020176	20251011	202510	2025	2025.7699											AFRMED	AFRICA	AFR					MED			1	040	040	04	1	1.0	4	1	4	0.95693779904307	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20251011081500	https://www.citizen.co.za/entertainment/watch-lupe-fiasco-lands-in-sa-ahead-of-back-to-the-city-festival-performance/
1268020177	20251011	202510	2025	2025.7699											AUSOPP	AUSTRALIAN	AUS					OPP			1	0841	084	08	2	7.0	6	1	6	-7.22222222222222	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	1	Jordan	JO	JO		31	36	JO	20251011081500	https://www.tbsnews.net/world/conscience-captain-face-indefinite-detention-israel-unless-she-signs-waiver-1257696
