1268082288	20241011	202410	2024	2024.7699	AUS	AUSTRALIA	AUS								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	10	1	10	-2.94840294840295	1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	20251011184500	https://www.miragenews.com/when-men-drink-women-and-children-pay-price-1549767/
1268082289	20241011	202410	2024	2024.7699	COP	PRISON						COP			MOS	IMAM				MOS					0	173	173	17	4	-5.0	1	1	1	-6.18556701030928	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082290	20241011	202410	2024	2024.7699	COP	PRISON						COP			MOS	IMAM				MOS					0	173	173	17	4	-5.0	4	1	4	-6.18556701030928	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082291	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	100	100	10	3	-5.0	2	1	2	-6.18556701030928	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082292	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	100	100	10	3	-5.0	2	1	2	-6.18556701030928	1	Pakistan	PK	PK		30	70	PK	1	Morocco	MO	MO		32	-5	MO	1	Pakistan	PK	PK		30	70	PK	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082293	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	100	100	10	3	-5.0	6	1	6	-6.18556701030928	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082294	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	173	173	17	4	-5.0	1	1	1	-6.18556701030928	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082295	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	173	173	17	4	-5.0	1	1	1	-6.18556701030928	1	Pakistan	PK	PK		30	70	PK	1	Morocco	MO	MO		32	-5	MO	1	Pakistan	PK	PK		30	70	PK	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082296	20241011	202410	2024	2024.7699	COP	PRISON						COP			PTY	POLITICIAN									0	173	173	17	4	-5.0	3	1	3	-6.18556701030928	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20251011184500	https://www.breitbart.com/europe/2025/10/11/dutch-populist-geert-wilders-suspends-public-campaigning-after-jihadi-terror-plot-on-his-life/
1268082297	20241011	202410	2024	2024.7699	USA	UNITED STATES	USA																		0	051	051	05	1	3.4	2	1	2	-3.42124019957235	3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251011184500	https://www.wfaa.com/article/news/politics/texas-republican-party-censures-rule-44-primary-ballot/269-4bf15c07-858a-45a1-944e-642231581848
1268082298	20241011	202410	2024	2024.7699	USA	UNITED STATES	USA																		0	111	111	11	3	-2.0	2	1	2	-3.42124019957235	3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251011184500	https://www.wfaa.com/article/news/politics/texas-republican-party-censures-rule-44-primary-ballot/269-4bf15c07-858a-45a1-944e-642231581848
