1268105077	20241012	202410	2024	2024.7726	BUS	COMPANY						BUS			GOVBUS	STATE OWNED ENTERPRISE						GOV	BUS		1	015	015	01	1	0.0	10	1	10	0.45402951191827	4	Atuabo, Western, Ghana	GH	GH09	190590	4.98056	-2.55495	-2070264	4	Atuabo, Western, Ghana	GH	GH09	190590	4.98056	-2.55495	-2070264	4	Atuabo, Western, Ghana	GH	GH09	190590	4.98056	-2.55495	-2070264	20251012001500	https://www.newsghana.com.gh/ghana-gas-pledges-discipline-after-turbulent-2024-year/
1268105078	20250912	202509	2025	2025.6904	GOV	PRESIDENT						GOV			USA	MEMPHIS	USA								1	190	190	19	4	-10.0	8	1	8	-4.5822102425876	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20251012001500	https://www.idahostatejournal.com/news/national/as-the-national-guard-enters-memphis-memories-of-mlk-and-1968-unrest-resurface/article_a886c315-a79f-574a-b8a4-ebf1fd7f7da1.html
1268105079	20250912	202509	2025	2025.6904	GOV	PRESIDENT						GOV			USA	MEMPHIS	USA								0	190	190	19	4	-10.0	8	1	8	-4.16666666666666	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251012001500	https://www.pressdemocrat.com/2025/10/11/as-the-national-guard-enters-memphis-memories-of-mlk-and-1968-unrest-resurface/
1268105080	20250912	202509	2025	2025.6904	USA	ILLINOIS	USA																		0	110	110	11	3	-2.0	3	1	3	-7.22291407222911	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251012001500	https://www.brisbanetimes.com.au/national/this-man-just-had-his-baby-shaking-execution-halted-because-his-conviction-might-be-based-on-junk-science-20251007-p5n0m3.html
1268105081	20250912	202509	2025	2025.6904	USA	ILLINOIS	USA								JUD	JUDGE						JUD			0	110	110	11	3	-2.0	7	1	7	-7.22291407222911	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251012001500	https://www.brisbanetimes.com.au/national/this-man-just-had-his-baby-shaking-execution-halted-because-his-conviction-might-be-based-on-junk-science-20251007-p5n0m3.html
1268105082	20250912	202509	2025	2025.6904	USA	ILLINOIS	USA								JUD	JUDGE						JUD			0	173	173	17	4	-5.0	7	1	7	-7.22291407222911	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20251012001500	https://www.brisbanetimes.com.au/national/this-man-just-had-his-baby-shaking-execution-halted-because-his-conviction-might-be-based-on-junk-science-20251007-p5n0m3.html
1268105083	20250912	202509	2025	2025.6904	USAGOV	UNITED STATES	USA					GOV			USA	MEMPHIS	USA								1	190	190	19	4	-10.0	2	1	2	-4.5822102425876	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20251012001500	https://www.idahostatejournal.com/news/national/as-the-national-guard-enters-memphis-memories-of-mlk-and-1968-unrest-resurface/article_a886c315-a79f-574a-b8a4-ebf1fd7f7da1.html
1268105084	20250912	202509	2025	2025.6904	USAGOV	UNITED STATES	USA					GOV			USA	MEMPHIS	USA								0	190	190	19	4	-10.0	2	1	2	-4.16666666666666	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20251012001500	https://www.pressdemocrat.com/2025/10/11/as-the-national-guard-enters-memphis-memories-of-mlk-and-1968-unrest-resurface/
1268105085	20251005	202510	2025	2025.7534	CVL	INDIGENOUS PEOPLE						CVL													1	051	051	05	1	3.4	5	1	5	5.28052805280528	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	0								4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20251012001500	https://www.cltampa.com/arts/3-ways-to-celebrate-indigenous-peoples-day-in-tampa-bay/
1268105086	20251005	202510	2025	2025.7534	USA	COLUMBUS	USA								CVL	INDIGENOUS PEOPLE						CVL			1	051	051	05	1	3.4	5	1	5	5.28052805280528	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20251012001500	https://www.cltampa.com/arts/3-ways-to-celebrate-indigenous-peoples-day-in-tampa-bay/
1268105087	20251011	202510	2025	2025.7699											FRA	PARIS	FRA								0	042	042	04	1	1.9	2	1	2	-1.73053152039555	0								4	Kwambonambi, KwaZulu-Natal, South Africa	SF	SF02	77336	-28.5983	32.0894	-1250025	4	Kwambonambi, KwaZulu-Natal, South Africa	SF	SF02	77336	-28.5983	32.0894	-1250025	20251012001500	https://www.timeslive.co.za/politics/2025-10-11-tight-security-for-mthethwas-funeral/
