1268421935	20241013	202410	2024	2024.7753	IRL	IRELAND	IRL																		1	010	010	01	1	0.0	5	1	5	1.72910662824207	4	Waterford Harbour, Ireland (general), Ireland	EI	EI00	18308	52.1792	-6.93056	-1506150	0								4	Waterford Harbour, Ireland (general), Ireland	EI	EI00	18308	52.1792	-6.93056	-1506150	20251013233000	https://www.independent.ie/irish-news/water-quality-continues-to-decline-as-ireland-currently-set-to-miss-2027-goals/a1289484171.html
1268421936	20241013	202410	2024	2024.7753	ISR	ISRAEL	ISR								USA	MINNEAPOLIS	USA								1	043	043	04	1	2.8	3	1	3	-2.4866785079929	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251013233000	https://www.kare11.com/article/news/nation-world/minnesotans-ties-to-middle-east-conflict-welcome-ceasefire-news-but-remain-wary-of-next-steps/89-55882615-1e96-4e51-bdad-fe2cf06e687a
1268421937	20241013	202410	2024	2024.7753	ISR	ISRAEL	ISR								USA	MINNEAPOLIS	USA								1	043	043	04	1	2.8	2	1	2	-2.4866785079929	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20251013233000	https://www.kare11.com/article/news/nation-world/minnesotans-ties-to-middle-east-conflict-welcome-ceasefire-news-but-remain-wary-of-next-steps/89-55882615-1e96-4e51-bdad-fe2cf06e687a
1268421938	20241013	202410	2024	2024.7753	LBN	LEBANON	LBN								EDU	STUDENT						EDU			1	013	013	01	1	0.4	2	1	2	1.96979645436638	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20251013233000	https://www.lebanonlocalnews.com/state-assessments/
1268421939	20241013	202410	2024	2024.7753	LBN	LEBANON	LBN								EDU	STUDENT						EDU			1	051	051	05	1	3.4	2	1	2	1.96979645436638	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20251013233000	https://www.lebanonlocalnews.com/state-assessments/
1268421940	20241013	202410	2024	2024.7753	USA	MINNEAPOLIS	USA								ISR	ISRAEL	ISR								1	042	042	04	1	1.9	1	1	1	-2.4866785079929	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251013233000	https://www.kare11.com/article/news/nation-world/minnesotans-ties-to-middle-east-conflict-welcome-ceasefire-news-but-remain-wary-of-next-steps/89-55882615-1e96-4e51-bdad-fe2cf06e687a
1268421941	20241013	202410	2024	2024.7753	USA	MINNEAPOLIS	USA								ISR	ISRAEL	ISR								1	042	042	04	1	1.9	2	1	2	-2.4866785079929	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251013233000	https://www.kare11.com/article/news/nation-world/minnesotans-ties-to-middle-east-conflict-welcome-ceasefire-news-but-remain-wary-of-next-steps/89-55882615-1e96-4e51-bdad-fe2cf06e687a
1268421942	20241013	202410	2024	2024.7753	USA	MINNEAPOLIS	USA								ISR	ISRAEL	ISR								1	042	042	04	1	1.9	2	1	2	-2.4866785079929	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20251013233000	https://www.kare11.com/article/news/nation-world/minnesotans-ties-to-middle-east-conflict-welcome-ceasefire-news-but-remain-wary-of-next-steps/89-55882615-1e96-4e51-bdad-fe2cf06e687a
1268421943	20250913	202509	2025	2025.6932											GOVHLH	HEALTH DEPARTMENT						GOV	HLH		1	046	046	04	1	7.0	10	1	10	2.92326431181487	0								2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20251013233000	https://wyofile.com/nurses-senior-care-telehealth-wyoming-seeks-feedback-for-how-to-spend-millions-in-federal-health-dollars/
1268421944	20250913	202509	2025	2025.6932	GOVHLH	HEALTH DEPARTMENT						GOV	HLH												1	046	046	04	1	7.0	10	1	10	2.92326431181487	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	0								2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20251013233000	https://wyofile.com/nurses-senior-care-telehealth-wyoming-seeks-feedback-for-how-to-spend-millions-in-federal-health-dollars/
1268421945	20251012	202510	2025	2025.7726											GOV	PRIME MINISTER						GOV			1	110	110	11	3	-2.0	1	1	1	-6.31578947368421	0								4	Strumica, Opstina Strumica, Macedonia	MK	MKE7	27311	41.4375	22.6433	-97362	4	Strumica, Opstina Strumica, Macedonia	MK	MKE7	27311	41.4375	22.6433	-97362	20251013233000	https://english.republika.mk/macedonia/mickoski-blasts-sdsm-for-including-zaev-in-their-campaign/
