1269369414	20241018	202410	2024	2024.7890	BEL	BELGIUM	BEL								BUS	COMPANY						BUS			1	010	010	01	1	0.0	4	1	4	0	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20251018160000	https://nypost.com/2025/10/18/us-news/spud-tacular-viral-caviar-french-fries-return-to-nyc-we-were-having-lines-down-the-street/
1269369415	20241018	202410	2024	2024.7890	DNKGRL	GREENLAND	DNK								USAGOV	NASA	USA					GOV			1	043	043	04	1	2.8	10	1	10	-2.80898876404495	1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	20251018160000	https://eladelantado.com/en/camp-century-nasa/
1269369416	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA																		0	060	060	06	2	6.0	2	1	2	-8.76993166287016	3	Times Square, New York, United States	US	USNY	NY061	40.757	-73.986	967537	0								3	Times Square, New York, United States	US	USNY		40.757	-73.986	967537	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369417	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA																		0	090	090	09	2	-2.0	2	1	2	-8.76993166287016	3	East Harlem, New York, United States	US	USNY	NY061	40.7947	-73.9425	2083753	0								3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369418	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA																		0	190	190	19	4	-10.0	2	1	2	-8.76993166287016	3	East Harlem, New York, United States	US	USNY	NY061	40.7947	-73.9425	2083753	0								3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369419	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								COP	POLICE						COP			0	060	060	06	2	6.0	2	1	2	-8.76993166287016	3	Times Square, New York, United States	US	USNY	NY061	40.757	-73.986	967537	3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	3	Times Square, New York, United States	US	USNY		40.757	-73.986	967537	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369420	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								COP	POLICE						COP			0	060	060	06	2	6.0	2	1	2	-8.76993166287016	3	Times Square, New York, United States	US	USNY	NY061	40.757	-73.986	967537	3	Times Square, New York, United States	US	USNY		40.757	-73.986	967537	3	Times Square, New York, United States	US	USNY		40.757	-73.986	967537	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369421	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								COP	POLICE						COP			0	060	060	06	2	6.0	2	1	2	-8.76993166287016	3	Times Square, New York, United States	US	USNY	NY061	40.757	-73.986	967537	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Times Square, New York, United States	US	USNY		40.757	-73.986	967537	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369422	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								COP	POLICE						COP			0	090	090	09	2	-2.0	6	1	6	-8.76993166287016	3	East Harlem, New York, United States	US	USNY	NY061	40.7947	-73.9425	2083753	3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369423	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								COP	POLICE						COP			0	190	190	19	4	-10.0	6	1	6	-8.76993166287016	3	East Harlem, New York, United States	US	USNY	NY061	40.7947	-73.9425	2083753	3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	3	East Harlem, New York, United States	US	USNY		40.7947	-73.9425	2083753	20251018160000	https://nypost.com/2025/10/18/us-news/teen-shooters-and-victims-skyrocket-since-raise-the-age-new-data-shows/
1269369424	20241018	202410	2024	2024.7890	USA	UNITED STATES	USA								ISR	ISRAEL	ISR								1	051	051	05	1	3.4	1	1	1	-1.33155792276964	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20251018160000	https://nypost.com/2025/10/18/us-news/pro-mamdani-political-action-committee-linked-to-terror-boosting-group/
1269369425	20241018	202410	2024	2024.7890	USAGOV	NASA	USA					GOV			DNKGRL	GREENLAND	DNK								1	042	042	04	1	1.9	10	1	10	-2.80898876404495	1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	20251018160000	https://eladelantado.com/en/camp-century-nasa/
1269369426	20250918	202509	2025	2025.7068	EUR	EUROPEAN	EUR																		1	057	057	05	1	8.0	1	1	1	-6.28019323671498	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	0								4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20251018160000	https://www.lemonde.fr/en/energies/article/2025/10/18/iran-announces-the-official-end-of-landmark-nuclear-program_6746554_98.html
1269369427	20250918	202509	2025	2025.7068	FRA	PARIS	FRA								SAUGOV	ABDULLAH	SAU					GOV			1	043	043	04	1	2.8	2	1	2	-2.23577235772358	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20251018160000	https://kashmirtimes.com/opinion/comment-articles/one-year-on-omar-abdullah-ruling-without-power
1269369428	20250918	202509	2025	2025.7068	HUN	HUNGARY	HUN								UKR	UKRAINE	UKR								0	192	192	19	4	-9.5	1	1	1	-3.75	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Ukraine	UP	UP		49	32	UP	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20251018160000	https://www.news18.com/world/can-putin-who-faces-international-arrest-warrant-enter-hungary-to-meet-trump-ws-l-9645457.html
1269369429	20250918	202509	2025	2025.7068	HUN	HUNGARIAN	HUN								UKR	UKRAINE	UKR								0	192	192	19	4	-9.5	3	1	3	-3.75	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20251018160000	https://www.news18.com/world/can-putin-who-faces-international-arrest-warrant-enter-hungary-to-meet-trump-ws-l-9645457.html
