1269509308	20241019	202410	2024	2024.7918	CHN	CHINA	CHN								PAK	PAKISTAN	PAK								1	045	045	04	1	5.0	10	1	10	1.40845070422535	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	20251019200000	https://www.globaltimes.cn/page/202510/1346002.shtml
1269509309	20241019	202410	2024	2024.7918	CVL	SETTLEMENT						CVL													1	128	128	12	3	-5.0	10	1	10	-3.03514376996805	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251019200000	https://www.nbcnewyork.com/news/national-international/att-settlement-money-deadline-date-how-to-file/6406905/
1269509310	20241019	202410	2024	2024.7918	LEG	LEGISLATOR						LEG			EDU	SCHOOL						EDU			1	020	020	02	1	3.0	2	1	2	-2.68714011516315	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20251019200000	https://www.yahoo.com/news/articles/ctu-stacy-davis-gates-elected-185200126.html
1269509311	20241019	202410	2024	2024.7918	LEG	LEGISLATOR						LEG			EDU	SCHOOL						EDU			1	020	020	02	1	3.0	8	1	8	-2.68714011516315	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20251019200000	https://www.yahoo.com/news/articles/ctu-stacy-davis-gates-elected-185200126.html
1269509312	20241019	202410	2024	2024.7918	LEG	LEGISLATOR						LEG			EDU	SCHOOL						EDU			1	160	160	16	4	-4.0	4	1	4	-2.68714011516315	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20251019200000	https://www.yahoo.com/news/articles/ctu-stacy-davis-gates-elected-185200126.html
1269509313	20241019	202410	2024	2024.7918	LEG	LEGISLATOR						LEG			EDU	SCHOOL						EDU			1	160	160	16	4	-4.0	6	1	6	-2.68714011516315	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20251019200000	https://www.yahoo.com/news/articles/ctu-stacy-davis-gates-elected-185200126.html
1269509314	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								0	062	062	06	2	7.4	1	1	1	0.10288065843621	0								4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509315	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS																		0	062	062	06	2	7.4	1	1	1	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	0								4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509316	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS																		0	120	120	12	3	-4.0	1	1	1	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	0								4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509317	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS								AUSGOV	AUSTRALIA	AUS					GOV			0	062	062	06	2	7.4	1	1	1	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509318	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS								AUSGOV	AUSTRALIA	AUS					GOV			0	120	120	12	3	-4.0	1	1	1	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
