1269748944	20250921	202509	2025	2025.7151	MIL	MILITARY						MIL			CHNGOV	XI JINPING	CHN					GOV			1	017	017	01	1	0.0	10	1	10	-0.79365079365079	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251021051500	https://www.channelnewsasia.com/east-asia/chnia-interested-expansion-solve-economic-problems-taiwan-official-5414416
1269748945	20250921	202509	2025	2025.7151	USA	PENNSYLVANIA	USA																		1	071	071	07	2	7.4	10	1	10	-1.15830115830116	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20251021051500	https://www.wnep.com/article/news/state/november-snap-payments-will-not-be-issued-pennsylvania-due-to-government-shutdown-federal/523-0b78bee5-2f3c-40e6-8b22-5a4dc90dc64e
1269748946	20250921	202509	2025	2025.7151	USALEG	UNITED STATES	USA					LEG			SEA	SOUTHEAST ASIA	SEA								1	036	036	03	1	4.0	10	1	10	0	0								0								0								20251021051500	https://biztoc.com/x/c34ee09f658c8dee
1269748947	20250921	202509	2025	2025.7151	USALEG	UNITED STATES	USA					LEG			SEA	SOUTHEAST ASIA	SEA								1	125	125	12	3	-5.0	10	1	10	0	0								0								0								20251021051500	https://biztoc.com/x/c34ee09f658c8dee
1269748948	20251014	202510	2025	2025.7781	AUT	VIENNA	AUT																		1	020	020	02	1	3.0	6	1	6	-7.6923076923077	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20251021051500	https://realty.economictimes.indiatimes.com/news/international/austrian-rene-benko-appeals-against-insolvency-fraud-conviction/124712795
1269748949	20251014	202510	2025	2025.7781	AUT	VIENNA	AUT																		1	173	173	17	4	-5.0	10	1	10	-7.6923076923077	4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	0								4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	20251021051500	https://realty.economictimes.indiatimes.com/news/international/austrian-rene-benko-appeals-against-insolvency-fraud-conviction/124712795
1269748950	20251014	202510	2025	2025.7781	CVL	HUNTER						CVL			USA	UNITED STATES	USA								0	013	013	01	1	0.4	4	1	4	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748951	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			CVL	HUNTER						CVL			0	010	010	01	1	0.0	2	1	2	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748952	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			CVL	HUNTER						CVL			0	040	040	04	1	1.0	2	1	2	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748953	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748954	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748955	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	040	040	04	1	1.0	2	1	2	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748956	20251014	202510	2025	2025.7781	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	040	040	04	1	1.0	6	1	6	-2.54083484573503	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748957	20251014	202510	2025	2025.7781	HUN	HUNGARY	HUN								UKR	UKRAINIAN	UKR								0	027	027	02	1	4.0	1	1	1	-1.64319248826291	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20251021051500	https://www.aa.com.tr/en/world/bulgaria-ready-to-open-its-airspace-for-putin-ahead-of-potential-meeting-with-trump-in-budapest/3722237
1269748958	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								GOV	PRIME MINISTER						GOV			1	036	036	03	1	4.0	5	1	5	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748959	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								IGOSEAASN	ASEAN	SEA	ASN				IGO			1	040	040	04	1	1.0	8	1	8	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748960	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								IGOSEAASN	ASEAN	SEA	ASN				IGO			1	040	040	04	1	1.0	2	1	2	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	1	Malaysia	MY	MY		2.5	112.5	MY	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748961	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								THA	THAILAND	THA								1	026	026	02	1	4.0	6	1	6	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748962	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								THA	THAILAND	THA								1	026	026	02	1	4.0	2	1	2	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	1	Malaysia	MY	MY		2.5	112.5	MY	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748963	20251014	202510	2025	2025.7781	MYS	MALAYSIA	MYS								THA	THAILAND	THA								1	026	026	02	1	4.0	2	1	2	-2.36486486486487	1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20251021051500	https://www.nationthailand.com/news/general/40057074
1269748964	20251014	202510	2025	2025.7781	USA	UNITED STATES	USA																		1	015	015	01	1	0.0	4	1	4	-6.0790273556231	3	Gulfport Police Department, Mississippi, United States	US	USMS	MS047	30.3954	-89.069	2332872	0								3	Gulfport Police Department, Mississippi, United States	US	USMS		30.3954	-89.069	2332872	20251021051500	https://www.wdam.com/2025/10/20/biloxi-man-sentenced-30-years-sexual-battery-child/
1269748965	20251021	202510	2025	2025.7973											AFG	AFGHANISTAN	AFG								0	042	042	04	1	1.9	1	1	1	-2.16110019646365	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251021051500	https://tribune.com.pk/story/2573332/kabul-delhi-nexus-1
1269748966	20251021	202510	2025	2025.7973											AFG	AFGHAN	AFG								1	043	043	04	1	2.8	2	1	2	-2.16110019646365	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20251021051500	https://tribune.com.pk/story/2573332/kabul-delhi-nexus-1
1269748967	20251021	202510	2025	2025.7973											AFG	AFGHAN	AFG								1	043	043	04	1	2.8	8	1	8	-2.16110019646365	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251021051500	https://tribune.com.pk/story/2573332/kabul-delhi-nexus-1
