1269923234	20241022	202410	2024	2024.8000	COP	POLICE OFFICER						COP			MDV	MALE	MDV								1	0841	084	08	2	7.0	10	1	10	-6.50224215246637	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20251022000000	https://www.belfastlive.co.uk/news/northern-ireland/belfast-courier-custodian-drugs-cash-32722009
1269923235	20241022	202410	2024	2024.8000	GOV	GOVERNMENT						GOV			USA	THE US	USA								1	042	042	04	1	1.9	10	1	10	0.31023784901758	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20251022000000	https://www.middleeasteye.net/news/visa-mortgage-restrictions-may-already-restricting-flow-indian-nationals-us
1269923236	20241022	202410	2024	2024.8000	LEG	SENATE						LEG			EDU	SCHOOL						EDU			1	071	071	07	2	7.4	3	1	3	-2.84431137724551	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251022000000	https://www.witf.org/2025/10/21/268025/
1269923237	20241022	202410	2024	2024.8000	MIL	JOINT CHIEFS OF STAFF						MIL													1	154	154	15	4	-7.2	21	7	21	-1.41324698891195	1	Iran	IR	IR		32	53	IR	0								1	Iran	IR	IR		32	53	IR	20251022000000	https://www.mendocinobeacon.com/2025/10/21/pentagon-army-vice-chief/
1269923238	20241022	202410	2024	2024.8000	USA	UNITED STATES	USA																		0	172	172	17	4	-5.0	1	1	1	-3.36134453781513	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251022000000	https://www.theguardian.com/us-news/2025/oct/21/trump-nominee-paul-ingrassia-racist-texts
1269923239	20241022	202410	2024	2024.8000	USA	PENNSYLVANIA	USA								EDU	SCHOOL						EDU			1	071	071	07	2	7.4	5	1	5	-2.84431137724551	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251022000000	https://www.witf.org/2025/10/21/268025/
1269923240	20241022	202410	2024	2024.8000	USA	THE US	USA								GOV	GOVERNMENT						GOV			1	043	043	04	1	2.8	10	1	10	0.31023784901758	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20251022000000	https://www.middleeasteye.net/news/visa-mortgage-restrictions-may-already-restricting-flow-indian-nationals-us
1269923241	20241022	202410	2024	2024.8000	USA	UNITED STATES	USA								LEG	LEGISLATURE						LEG			0	010	010	01	1	0.0	4	1	4	-0.31578947368421	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20251022000000	https://www.yahoo.com/news/articles/mass-ag-campbell-sidesteps-congress-223310573.html
1269923242	20241022	202410	2024	2024.8000	USA	UNITED STATES	USA								LEG	LEGISLATURE						LEG			0	090	090	09	2	-2.0	4	1	4	-0.31578947368421	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	3	New Bedford, Massachusetts, United States	US	USMA		41.6362	-70.9342	613714	20251022000000	https://www.yahoo.com/news/articles/mass-ag-campbell-sidesteps-congress-223310573.html
1269923243	20241022	202410	2024	2024.8000	USA	UNITED STATES	USA								MIL	JOINT CHIEFS OF STAFF						MIL			1	154	154	15	4	-7.2	18	6	18	-1.43737166324435	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251022000000	https://www.mendocinobeacon.com/2025/10/21/pentagon-army-vice-chief/
1269923244	20241022	202410	2024	2024.8000	VEN	VENEZUELA	VEN																		1	154	154	15	4	-7.2	6	6	6	-1.43737166324435	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251022000000	https://www.mendocinobeacon.com/2025/10/21/pentagon-army-vice-chief/
