1270027406	20241022	202410	2024	2024.8000	CHN	CHINA	CHN								PAK	PAKISTAN	PAK								1	045	045	04	1	5.0	10	1	10	1.82370820668693	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	20251022121500	https://www.globalsecurity.org/space/library/news/2025/space-251019-globaltimes01.htm
1270027407	20241022	202410	2024	2024.8000	POL	POLISH	POL								BLR	BELARUS	BLR								0	012	012	01	1	-0.4	2	1	2	-5.08221225710015	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Belarus	BO	BO		53	28	BO	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027408	20241022	202410	2024	2024.8000	POL	POLISH	POL								BLR	BELARUS	BLR								0	012	012	01	1	-0.4	2	1	2	-5.08221225710015	1	Belarus	BO	BO		53	28	BO	1	Belarus	BO	BO		53	28	BO	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027409	20241022	202410	2024	2024.8000	POL	POLISH	POL								BLR	BELARUS	BLR								0	073	073	07	2	7.4	2	1	2	-5.08221225710015	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Belarus	BO	BO		53	28	BO	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027410	20241022	202410	2024	2024.8000	POL	POLISH	POL								BLR	BELARUS	BLR								0	073	073	07	2	7.4	2	1	2	-5.08221225710015	1	Belarus	BO	BO		53	28	BO	1	Belarus	BO	BO		53	28	BO	1	Belarus	BO	BO		53	28	BO	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027411	20241022	202410	2024	2024.8000	POLGOV	POLISH	POL					GOV			BLR	BELARUS	BLR								0	012	012	01	1	-0.4	6	1	6	-5.08221225710015	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Belarus	BO	BO		53	28	BO	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027412	20241022	202410	2024	2024.8000	POLGOV	POLISH	POL					GOV			BLR	BELARUS	BLR								0	073	073	07	2	7.4	6	1	6	-5.08221225710015	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	1	Belarus	BO	BO		53	28	BO	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20251022121500	https://www.ibtimes.com/jailed-belarus-georgia-journalists-win-eus-top-rights-prize-3788026
1270027413	20250922	202509	2025	2025.7178	POL	POLAND	POL								EST	ESTONIA	EST								0	150	150	15	4	-7.2	1	1	1	1.14908662345315	1	Poland	PL	PL		52	20	PL	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20251022121500	https://www.globalsecurity.org/wmd/library/news/uk/2025/uk-251021-ukmod01.htm
1270027414	20251015	202510	2025	2025.7808											HUN	HUNGARY	HUN								1	040	040	04	1	1.0	1	1	1	-4.73773265651438	0								1	Hungary	HU	HU		47	20	HU	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251022121500	https://www.thestar.com.my/news/world/2025/10/22/russia-and-ukraine-launch-overnight-missile-strikes-after-trump-putin-summit-delay
1270027415	20251015	202510	2025	2025.7808											bar	BARI			bar						0	042	042	04	1	1.9	6	1	6	-2	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251022121500	https://www.foxnews.com/media/bari-weiss-critics-inside-cbs-news-fall-two-distinct-camps-network-insider-says
1270027416	20251015	202510	2025	2025.7808	COP	POLICE CHIEF						COP													1	010	010	01	1	0.0	6	1	6	-5.55555555555555	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20251022121500	https://www.aol.com/articles/south-carolina-man-accused-keeping-034957487.html
1270027417	20251015	202510	2025	2025.7808	COP	POLICE CHIEF						COP			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	-5.55555555555555	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20251022121500	https://www.aol.com/articles/south-carolina-man-accused-keeping-034957487.html
1270027418	20251015	202510	2025	2025.7808	HUN	HUNGARY	HUN																		1	040	040	04	1	1.0	1	1	1	-4.73773265651438	1	Hungary	HU	HU		47	20	HU	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251022121500	https://www.thestar.com.my/news/world/2025/10/22/russia-and-ukraine-launch-overnight-missile-strikes-after-trump-putin-summit-delay
1270027419	20251015	202510	2025	2025.7808	HUN	HUNGARY	HUN								UKR	UKRAINE	UKR								1	036	036	03	1	4.0	1	1	1	-4.73773265651438	1	Hungary	HU	HU		47	20	HU	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251022121500	https://www.thestar.com.my/news/world/2025/10/22/russia-and-ukraine-launch-overnight-missile-strikes-after-trump-putin-summit-delay
1270027420	20251015	202510	2025	2025.7808	UKR	UKRAINE	UKR								HUN	HUNGARY	HUN								1	036	036	03	1	4.0	1	1	1	-4.73773265651438	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	1	Hungary	HU	HU		47	20	HU	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251022121500	https://www.thestar.com.my/news/world/2025/10/22/russia-and-ukraine-launch-overnight-missile-strikes-after-trump-putin-summit-delay
1270027421	20251015	202510	2025	2025.7808	USA	UNITED STATES	USA								bar	BARI			bar						0	042	042	04	1	1.9	2	1	2	-2	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Israel	IS	IS		31.5	34.75	IS	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251022121500	https://www.foxnews.com/media/bari-weiss-critics-inside-cbs-news-fall-two-distinct-camps-network-insider-says
1270027422	20251015	202510	2025	2025.7808	USACOP	UNITED STATES	USA					COP													1	010	010	01	1	0.0	2	1	2	-5.55555555555555	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20251022121500	https://www.aol.com/articles/south-carolina-man-accused-keeping-034957487.html
1270027423	20251015	202510	2025	2025.7808	bar	BARI			bar																0	043	043	04	1	2.8	6	1	6	-2	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251022121500	https://www.foxnews.com/media/bari-weiss-critics-inside-cbs-news-fall-two-distinct-camps-network-insider-says
1270027424	20251015	202510	2025	2025.7808	bar	BARI			bar						USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-2	1	Israel	IS	IS		31.5	34.75	IS	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251022121500	https://www.foxnews.com/media/bari-weiss-critics-inside-cbs-news-fall-two-distinct-camps-network-insider-says
1270027425	20251021	202510	2025	2025.7973											SDN	SUDAN	SDN								0	042	042	04	1	1.9	8	1	8	-3.18257956448911	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20251022121500	https://www.globalsecurity.org/military/library/news/2025/10/mil-251021-unocha01.htm
1270027426	20251021	202510	2025	2025.7973											SDN	SUDAN	SDN								0	042	042	04	1	1.9	6	1	6	-0.35958288385473	0								4	El Fasher, Shamal Darfur, Sudan	SU	SU55	37080	13.6333	25.35	-1684	4	Tawila, Shamal Darfur, Sudan	SU	SU55	37080	13.5	24.9	-15004	20251022121500	https://www.globalsecurity.org/military/library/news/2025/10/mil-251021-unbrief01.htm
1270027427	20251021	202510	2025	2025.7973	GBRGOV	DOWNING STREET	GBR					GOV			GBRGOV	UNITED KINGDOM	GBR					GOV			0	030	030	03	1	4.0	4	1	2	-0.526315789473689	4	Small Heath, Birmingham, United Kingdom	UK	UKA7	40136	52.45	-1.81667	-2608032	4	Small Heath, Birmingham, United Kingdom	UK	UKA7	40136	52.45	-1.81667	-2608032	4	Small Heath, Birmingham, United Kingdom	UK	UKA7	40136	52.45	-1.81667	-2608032	20251022121500	https://www.mirror.co.uk/tv/tv-news/carol-vorderman-reveals-huge-lifestyle-36113323
