1270560284	20241025	202410	2024	2024.8082	CHE	BASEL	CHE								QAT	QATAR	QAT								1	030	030	03	1	4.0	5	1	5	4.91452991452992	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251025001500	https://www.artnews.com/art-news/news/art-basel-discounts-new-galleries-2025-1234758887/
1270560285	20250925	202509	2025	2025.7260											CHRPRO300	PRESBYTERIAN				CHR	PRO				1	190	190	19	4	-10.0	10	1	10	-4.19580419580419	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20251025001500	https://www.nbcchicago.com/news/local/house-shadow-hearing-centers-on-trump-immigration-crackdown-in-chicago/3843208/
1270560286	20250925	202509	2025	2025.7260											ELI	ACTOR						ELI			1	043	043	04	1	2.8	6	1	6	1.8018018018018	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560287	20250925	202509	2025	2025.7260											USA	MASSACHUSETTS	USA								0	125	125	12	3	-5.0	5	1	5	-2.69320843091335	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20251025001500	https://gazettenet.com/2025/10/24/state-dems-slam-trump-for-halting-snap-starting-nov-1/
1270560288	20250925	202509	2025	2025.7260											USAELI	UNITED STATES	USA					ELI			1	043	043	04	1	2.8	2	1	2	1.8018018018018	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560289	20250925	202509	2025	2025.7260	CANGOV	CANADA	CAN					GOV			JUD	SUPREME COURT						JUD			1	042	042	04	1	1.9	2	1	2	-0.52219321148825	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251025001500	https://www.kmaland.com/ag/agri_news/canada-believes-tariffs-will-continue-despite-upcoming-hearing/article_f7b20aa8-9915-53bf-a992-a6b5d7a239b2.html
1270560290	20250925	202509	2025	2025.7260	ELI	ACTOR						ELI													1	042	042	04	1	1.9	6	1	6	1.8018018018018	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560291	20250925	202509	2025	2025.7260	ELI	ACTOR						ELI													1	128	128	12	3	-5.0	6	1	6	1.8018018018018	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560292	20250925	202509	2025	2025.7260	ELI	ACTOR						ELI			USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	1.8018018018018	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560293	20250925	202509	2025	2025.7260	ELI	ACTOR						ELI			USA	UNITED STATES	USA								1	128	128	12	3	-5.0	2	1	2	1.8018018018018	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560294	20250925	202509	2025	2025.7260	GOV	PRESIDENT						GOV			JUD	SUPREME COURT						JUD			1	042	042	04	1	1.9	8	1	8	-0.52219321148825	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251025001500	https://www.kmaland.com/ag/agri_news/canada-believes-tariffs-will-continue-despite-upcoming-hearing/article_f7b20aa8-9915-53bf-a992-a6b5d7a239b2.html
1270560295	20250925	202509	2025	2025.7260	JUD	SUPREME COURT						JUD			CANGOV	CANADA	CAN					GOV			1	043	043	04	1	2.8	2	1	2	-0.52219321148825	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251025001500	https://www.kmaland.com/ag/agri_news/canada-believes-tariffs-will-continue-despite-upcoming-hearing/article_f7b20aa8-9915-53bf-a992-a6b5d7a239b2.html
1270560296	20250925	202509	2025	2025.7260	JUD	SUPREME COURT						JUD			GOV	PRESIDENT						GOV			1	043	043	04	1	2.8	8	1	8	-0.52219321148825	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251025001500	https://www.kmaland.com/ag/agri_news/canada-believes-tariffs-will-continue-despite-upcoming-hearing/article_f7b20aa8-9915-53bf-a992-a6b5d7a239b2.html
1270560297	20250925	202509	2025	2025.7260	LEG	PARLIAMENT						LEG			SGP	SINGAPORE	SGP								1	130	130	13	3	-4.4	10	1	10	-1.07948969578018	4	Tuas, Singapore (general), Singapore	SN	SN00	18585	1.32139	103.657	-73725	4	Tuas, Singapore (general), Singapore	SN	SN00	18585	1.32139	103.657	-73725	4	Tuas, Singapore (general), Singapore	SN	SN00	18585	1.32139	103.657	-73725	20251025001500	https://www.businesstimes.com.sg/opinion-features/rare-public-consultation-simba-m1-deal-will-test-our-telco-values
1270560298	20250925	202509	2025	2025.7260	USA	PHOENIX	USA								COP	POLICE						COP			1	172	172	17	4	-5.0	10	1	10	-10.0502512562814	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20251025001500	https://www.azfamily.com/2025/10/24/suspect-injured-phoenix-police-shootout-booked-into-jail/
