1270602379	20151028	201510	2015	2015.8164	AUS	AUSTRALIA	AUS																		1	020	020	02	1	3.0	2	1	2	1.97215777262181	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20251025073000	https://www.abc.net.au/news/2025-10-25/sa-government-unveils-apartment-construction-election-policy/105933814
1270602380	20241025	202410	2024	2024.8082	FRA	FRENCH	FRA								GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	2	1	2	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602381	20241025	202410	2024	2024.8082	FRALEG	FRENCH	FRA					LEG			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	3	1	3	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602382	20241025	202410	2024	2024.8082	FRALEG	FRENCH	FRA					LEG			GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	3	1	3	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602383	20241025	202410	2024	2024.8082	FRALEG	FRENCH	FRA					LEG			GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	3	1	3	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602384	20241025	202410	2024	2024.8082	GOV	GOVERNMENT						GOV			FRA	FRENCH	FRA								1	046	046	04	1	7.0	2	1	2	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602385	20241025	202410	2024	2024.8082	GOV	GOVERNMENT						GOV			FRALEG	FRENCH	FRA					LEG			1	040	040	04	1	1.0	3	1	3	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602386	20241025	202410	2024	2024.8082	GOV	GOVERNMENT						GOV			FRALEG	FRENCH	FRA					LEG			1	046	046	04	1	7.0	3	1	3	-9.26640926640927	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251025073000	https://www.politico.eu/article/moodys-france-rating-outlook-budget-deficit-political-crisis/
1270602387	20250925	202509	2025	2025.7260	COP	PRISON						COP													0	173	173	17	4	-5.0	1	1	1	-12.8440366972477	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	0								4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	20251025073000	https://english.mathrubhumi.com/news/world/indian-nurse-jailed-singapore-molesting-visitor-mnwmfubr
1270602388	20250925	202509	2025	2025.7260	COP	PRISON						COP			SGP	SINGAPORE	SGP								0	173	173	17	4	-5.0	2	1	2	-12.8440366972477	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	20251025073000	https://english.mathrubhumi.com/news/world/indian-nurse-jailed-singapore-molesting-visitor-mnwmfubr
1270602389	20250925	202509	2025	2025.7260	SGP	SINGAPORE	SGP								COP	PRISON						COP			0	173	173	17	4	-5.0	3	1	3	-12.8440366972477	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	4	Changi, Singapore (general), Singapore	SN	SN00	18585	1.34167	103.964	-73644	20251025073000	https://english.mathrubhumi.com/news/world/indian-nurse-jailed-singapore-molesting-visitor-mnwmfubr
1270602390	20251018	202510	2025	2025.7890	GOV	PRESIDENT						GOV			KORGOV	SOUTH KOREA	KOR					GOV			1	036	036	03	1	4.0	2	1	2	1.4957264957265	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	South Korea	KS	KS		37	127.5	KS	20251025073000	https://www.express.co.uk/news/us/2125816/trump-north-korea-kim-asis
1270602391	20251018	202510	2025	2025.7890	KORGOV	SOUTH KOREA	KOR					GOV			GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	2	1	2	1.4957264957265	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	South Korea	KS	KS		37	127.5	KS	20251025073000	https://www.express.co.uk/news/us/2125816/trump-north-korea-kim-asis
1270602392	20251018	202510	2025	2025.7890	KORGOV	SOUTH KOREA	KOR					GOV			GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	6	1	6	1.4957264957265	1	South Korea	KS	KS		37	127.5	KS	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	1	South Korea	KS	KS		37	127.5	KS	20251025073000	https://www.express.co.uk/news/us/2125816/trump-north-korea-kim-asis
