1270733238	20241026	202410	2024	2024.8110	FRA	FRANCE	FRA								GOV	PRESIDENT						GOV			0	0241	024	02	1	-0.3	10	1	10	-5.87044534412956	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251026090000	https://www.thelocal.fr/20251026/french-government-under-pressure-over-wealth-tax-proposal
1270733239	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV													0	026	026	02	1	4.0	1	1	1	3.84024577572965	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733240	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV													0	026	026	02	1	4.0	3	1	3	3.84024577572965	4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	0								4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733241	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV													0	026	026	02	1	4.0	1	1	1	3.84024577572965	4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	0								4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733242	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV			COP	POLICE						COP			0	026	026	02	1	4.0	1	1	1	3.84024577572965	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733243	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV			COP	POLICE						COP			0	026	026	02	1	4.0	3	1	3	3.84024577572965	4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733244	20241026	202410	2024	2024.8110	GOV	PRIME MINISTER						GOV			COP	POLICE						COP			0	026	026	02	1	4.0	1	1	1	3.84024577572965	4	Kombai, Tamil Nadu, India	IN	IN25	70250	9.83333	77.3167	-2101324	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733245	20241026	202410	2024	2024.8110	IND	LUCKNOW	IND								COP	POLICE						COP			0	173	173	17	4	-5.0	2	1	2	3.84024577572965	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	4	Lucknow, Uttar Pradesh, India	IN	IN36	17941	26.85	80.9167	-2102835	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733246	20241026	202410	2024	2024.8110	IND	LUCKNOW	IND								COP	POLICE						COP			0	173	173	17	4	-5.0	1	1	1	3.84024577572965	4	Mudhol, Karnataka, India	IN	IN19	70157	16.35	75.2833	-2104912	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Mudhol, Karnataka, India	IN	IN19	70157	16.35	75.2833	-2104912	20251026090000	https://www.newkerala.com/news/o/mann-ki-baat-pm-modi-hails-bsf-crpf-increasing-927
1270733247	20241026	202410	2024	2024.8110	ISR	ISRAEL	ISR								ISRELI	ISRAEL	ISR					ELI			0	1125	112	11	3	-2.0	6	1	6	-9.2	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.theguardian.com/commentisfree/2025/oct/26/gaza-war-truth-justice-ceasefire-international-tribunal
1270733248	20241026	202410	2024	2024.8110	ISRELI	ISRAEL	ISR					ELI			PSE	WEST BANK	PSE								0	190	190	19	4	-10.0	1	1	1	-9.2	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	West Bank	WE	WE		31.666667	35.25	WE	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251026090000	https://www.theguardian.com/commentisfree/2025/oct/26/gaza-war-truth-justice-ceasefire-international-tribunal
