1271104301	20241028	202410	2024	2024.8164	FRA	FRANCE	FRA								FRAELI	FRANCE	FRA					ELI			1	051	051	05	1	3.4	5	1	5	3.22580645161291	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251028120000	https://www.allkpop.com/article/2025/10/stray-kids-to-feature-on-dj-snakes-upcoming-album-nomad-with-new-track-in-the-dark
1271104302	20241028	202410	2024	2024.8164	JOR	JORDAN	JOR								SYR	SYRIA	SYR								1	061	061	06	2	6.4	3	1	3	4.83870967741936	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251028120000	https://sana.sy/en/economic/2274634/
1271104303	20241028	202410	2024	2024.8164	JOR	JORDAN	JOR								SYR	SYRIA	SYR								1	061	061	06	2	6.4	7	1	7	4.83870967741936	1	Jordan	JO	JO		31	36	JO	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	1	Jordan	JO	JO		31	36	JO	20251028120000	https://sana.sy/en/economic/2274634/
1271104304	20241028	202410	2024	2024.8164	JPN	JAPANESE	JPN								USA	WASHINGTON	USA								0	033	033	03	1	5.2	4	1	4	3.6144578313253	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104305	20241028	202410	2024	2024.8164	JPN	JAPANESE	JPN								USA	WASHINGTON	USA								0	070	070	07	2	7.0	4	1	4	3.6144578313253	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104306	20241028	202410	2024	2024.8164	JPNGOV	JAPANESE	JPN					GOV			JPN	JAPANESE	JPN								0	033	033	03	1	5.2	4	1	4	3.6144578313253	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104307	20241028	202410	2024	2024.8164	JPNGOV	JAPAN	JPN					GOV			JPN	JAPAN	JPN								0	033	033	03	1	5.2	2	1	2	3.6144578313253	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104308	20241028	202410	2024	2024.8164	JPNGOV	JAPANESE	JPN					GOV			USA	WASHINGTON	USA								0	017	017	01	1	0.0	4	1	4	3.6144578313253	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104309	20241028	202410	2024	2024.8164	JPNGOV	JAPAN	JPN					GOV			USA	UNITED STATES	USA								0	017	017	01	1	0.0	2	1	2	3.6144578313253	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104310	20241028	202410	2024	2024.8164	JPNGOV	JAPANESE	JPN					GOV			USA	WASHINGTON	USA								0	070	070	07	2	7.0	4	1	4	3.6144578313253	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
1271104311	20241028	202410	2024	2024.8164	JPNGOV	JAPAN	JPN					GOV			USA	UNITED STATES	USA								0	070	070	07	2	7.0	2	1	2	3.6144578313253	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251028120000	https://www.yahoo.com/news/articles/us-japan-seal-rare-earths-113236251.html
