1272979160	20241107	202411	2024	2024.8411	BRA	BRAZILIAN	BRA								BRAGOV	BRAZIL	BRA					GOV			1	020	020	02	1	3.0	2	1	2	-0.59311981020166	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20251107140000	https://www.euronews.com/green/2025/11/07/cop30-could-brazils-ambitious-new-tropical-forest-forever-fund-help-curb-deforestation
1272979161	20241107	202411	2024	2024.8411	BUS	COMPANY						BUS			USA	THE US	USA								1	010	010	01	1	0.0	5	1	5	0.40567951318458	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20251107140000	https://www.pv-tech.org/us-includes-silicon-tellurium-on-list-of-critical-minerals/
1272979162	20241107	202411	2024	2024.8411	BUS	COMPANY						BUS			USA	THE US	USA								1	031	031	03	1	5.2	5	1	5	0.40567951318458	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20251107140000	https://www.pv-tech.org/us-includes-silicon-tellurium-on-list-of-critical-minerals/
1272979163	20241107	202411	2024	2024.8411	GOV	PRESIDENT						GOV			REB	REBEL FORCE						REB			1	036	036	03	1	4.0	12	2	12	-0.68119891008175	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979164	20241107	202411	2024	2024.8411	GOV	PRESIDENT						GOV			REB	REBEL FORCE						REB			1	036	036	03	1	4.0	4	2	4	-0.68119891008175	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20251107140000	https://www.ashleycountyledger.com/news/national/former-jihadist-syrian-leader-makes-unprecedented-white-house-visit/article_31dfba00-80e1-56ac-92b9-d02d373326bb.html
1272979165	20241107	202411	2024	2024.8411	GRC	GREECE	GRC																		0	125	125	12	3	-5.0	2	1	2	0.63626723223754	4	Alexandroupolis, Perifereia Anatolikis Makedonias kai Thrakis, Greece	GR	GR53	16676	40.8475	25.8744	-813621	0								4	Alexandroupolis, Perifereia Anatolikis Makedonias kai Thrakis, Greece	GR	GR53	16676	40.8475	25.8744	-813621	20251107140000	https://www.euronews.com/2025/11/07/us-to-maintain-long-term-energy-cooperation-with-europe-secretary-wright-tells-euronews
1272979166	20241107	202411	2024	2024.8411	GRC	GREECE	GRC																		0	125	125	12	3	-5.0	2	1	2	0.63626723223754	4	Alexandroupolis, Perifereia Anatolikis Makedonias kai Thrakis, Greece	GR	GR53	16676	40.8475	25.8744	-813621	0								1	China	CH	CH		35	105	CH	20251107140000	https://www.euronews.com/2025/11/07/us-to-maintain-long-term-energy-cooperation-with-europe-secretary-wright-tells-euronews
1272979167	20241107	202411	2024	2024.8411	IRL	IRELAND	IRL								USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	2.69192422731805	1	Ireland	EI	EI		53	-8	EI	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20251107140000	https://www.clevelandjewishnews.com/jns/ohio-state-house-passes-bill-to-partner-on-trade-innovation-with-israel/article_edb4becc-542a-5138-9040-d77c32eddfe1.html
1272979168	20241107	202411	2024	2024.8411	IRL	IRELAND	IRL								USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	2.69192422731805	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20251107140000	https://www.clevelandjewishnews.com/jns/ohio-state-house-passes-bill-to-partner-on-trade-innovation-with-israel/article_edb4becc-542a-5138-9040-d77c32eddfe1.html
1272979169	20241107	202411	2024	2024.8411	JEW	JEWISH				JEW					IRL	IRELAND	IRL								0	010	010	01	1	0.0	2	1	2	2.69192422731805	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	1	Ireland	EI	EI		53	-8	EI	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20251107140000	https://www.clevelandjewishnews.com/jns/ohio-state-house-passes-bill-to-partner-on-trade-innovation-with-israel/article_edb4becc-542a-5138-9040-d77c32eddfe1.html
1272979170	20241107	202411	2024	2024.8411	JEW	JEWISH				JEW					IRL	IRELAND	IRL								0	010	010	01	1	0.0	1	1	1	2.69192422731805	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20251107140000	https://www.clevelandjewishnews.com/jns/ohio-state-house-passes-bill-to-partner-on-trade-innovation-with-israel/article_edb4becc-542a-5138-9040-d77c32eddfe1.html
