1273235533	20151112	201511	2015	2015.8548	REB	INSURGENT						REB			MOS	MUSLIM				MOS					1	190	190	19	4	-10.0	10	1	10	-2.12765957446808	1	Sierra Leone	SL	SL		8.5	-11.5	SL	1	Sierra Leone	SL	SL		8.5	-11.5	SL	1	Sierra Leone	SL	SL		8.5	-11.5	SL	20251109094500	https://thenationonlineng.net/bolarinwa-tasks-tinubu-nigerians-over-trumps-threat/
1273235534	20241109	202411	2024	2024.8466	DJIGOV	DILEITA MOHAMED DILEITA	DJI					GOV			LEG	CONGRESS						LEG			1	013	013	01	1	0.4	5	1	5	0.46403712296984	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20251109094500	https://www.arise.tv/djiboutis-guelleh-confirms-bid-for-sixth-term-after-parliament-scraps-presidential-age-limit/
1273235535	20241109	202411	2024	2024.8466	MED	MEDIA						MED			UKR	UKRAINE	UKR								0	020	020	02	1	3.0	2	1	2	-2.13371266002845	4	My Skin, Saratovskaya Oblast', Russia	RS	RS67	25101	51.8306	43.1819	-2962154	1	Ukraine	UP	UP		49	32	UP	4	My Skin, Saratovskaya Oblast', Russia	RS	RS67	25101	51.8306	43.1819	-2962154	20251109094500	https://www.standardmedia.co.ke/national/article/2001533793/from-alabuga-start-programme-to-war-frontline-kenyans-are-victims-of-russian-excesses
1273235536	20251102	202511	2025	2025.8274											CAN	NOVA SCOTIA	CAN								1	036	036	03	1	4.0	3	1	3	1.5817223198594	0								3	Boston Common, Massachusetts, United States	US	USMA		42.3551	-71.0656	619497	3	Boston Common, Massachusetts, United States	US	USMA		42.3551	-71.0656	619497	20251109094500	https://www.bostonherald.com/2025/11/09/pols-politics-wu-to-chop-bostons-christmas-tree-in-canada-bakers-council-bid-not-entirely-dead/
1273235537	20251102	202511	2025	2025.8274	GOV	GOVERNMENT						GOV			RUS	RUSSIA	RUS								1	012	012	01	1	-0.4	10	1	10	-2.13371266002845	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251109094500	https://www.standardmedia.co.ke/national/article/2001533793/from-alabuga-start-programme-to-war-frontline-kenyans-are-victims-of-russian-excesses
1273235538	20251102	202511	2025	2025.8274	JUD	SUPREME COURT						JUD													0	014	014	01	1	0.0	10	1	10	-4.61538461538462	4	Yifat, Ha?afon, Israel	IS	IS03	18314	32.6775	35.2233	-781756	0								4	Yifat, Ha?afon, Israel	IS	IS03	18314	32.6775	35.2233	-781756	20251109094500	https://www.ynetnews.com/opinions-analysis/article/rk4dvatybl
1273235539	20251102	202511	2025	2025.8274	USA	UNITED STATES	USA								CAN	NOVA SCOTIA	CAN								1	036	036	03	1	4.0	2	1	2	1.5817223198594	3	Boston Common, Massachusetts, United States	US	USMA	MA025	42.3551	-71.0656	619497	3	Boston Common, Massachusetts, United States	US	USMA		42.3551	-71.0656	619497	3	Boston Common, Massachusetts, United States	US	USMA		42.3551	-71.0656	619497	20251109094500	https://www.bostonherald.com/2025/11/09/pols-politics-wu-to-chop-bostons-christmas-tree-in-canada-bakers-council-bid-not-entirely-dead/
1273235540	20251108	202511	2025	2025.8438											GOV	GOVERNOR						GOV			0	036	036	03	1	4.0	5	1	5	0.48076923076923	0								5	Zamfara State, Zamfara, Nigeria	NI	NI57	191424	12.1667	6.25	9098622	5	Zamfara State, Zamfara, Nigeria	NI	NI57	191424	12.1667	6.25	9098622	20251109094500	https://thenationonlineng.net/pdp-and-the-dance-of-musical-chairs/
1273235541	20251108	202511	2025	2025.8438	GOV	GOVERNOR						GOV													0	036	036	03	1	4.0	5	1	5	0.48076923076923	5	Zamfara State, Zamfara, Nigeria	NI	NI57	191424	12.1667	6.25	9098622	0								5	Zamfara State, Zamfara, Nigeria	NI	NI57	191424	12.1667	6.25	9098622	20251109094500	https://thenationonlineng.net/pdp-and-the-dance-of-musical-chairs/
1273235542	20251109	202511	2025	2025.8466											AUS	AUSTRALIA	AUS								1	046	046	04	1	7.0	1	1	1	10.5590062111801	0								1	Australia	AS	AS		-25	135	AS	1	United Kingdom	UK	UK		54	-4	UK	20251109094500	https://names.newkerala.com/meaning/stevie.html
1273235543	20251109	202511	2025	2025.8466											AUS	AUSTRALIA	AUS								1	046	046	04	1	7.0	1	1	1	10.5590062111801	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251109094500	https://names.newkerala.com/meaning/stevie.html
1273235544	20251109	202511	2025	2025.8466											AUS	AUSTRALIA	AUS								1	112	112	11	3	-2.0	1	1	1	-9.4285714285714	0								4	Karnal, Haryana, India	IN	IN10	17660	29.6833	76.9833	-2099852	4	Karnal, Haryana, India	IN	IN10	17660	29.6833	76.9833	-2099852	20251109094500	https://www.hindustantimes.com/india-news/punjab-aap-mla-pathanmajra-accused-of-rape-flees-to-australia-report-101762678741625.html
1273235545	20251109	202511	2025	2025.8466											AUS	AUSTRALIA	AUS								1	112	112	11	3	-2.0	1	1	1	-9.4285714285714	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251109094500	https://www.hindustantimes.com/india-news/punjab-aap-mla-pathanmajra-accused-of-rape-flees-to-australia-report-101762678741625.html
1273235546	20251109	202511	2025	2025.8466											AUS	AUSTRALIA	AUS								1	1821	182	18	4	-9.0	2	1	2	-9.4285714285714	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251109094500	https://www.hindustantimes.com/india-news/punjab-aap-mla-pathanmajra-accused-of-rape-flees-to-australia-report-101762678741625.html
1273235547	20251109	202511	2025	2025.8466											BUS	COMPANY						BUS			0	054	054	05	1	6.0	10	1	10	7.27272727272728	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20251109094500	https://www.financial-news.co.uk/fintradix-releases-quarterly-performance-report-highlighting-double-digit-growth/
1273235548	20251109	202511	2025	2025.8466											CAN	NOVA SCOTIA	CAN								1	036	036	03	1	4.0	2	1	2	1.5817223198594	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20251109094500	https://www.bostonherald.com/2025/11/09/pols-politics-wu-to-chop-bostons-christmas-tree-in-canada-bakers-council-bid-not-entirely-dead/
1273235549	20251109	202511	2025	2025.8466											CAN	NOVA SCOTIA	CAN								1	036	036	03	1	4.0	1	1	1	1.5817223198594	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	1	Canada	CA	CA		60	-96	CA	20251109094500	https://www.bostonherald.com/2025/11/09/pols-politics-wu-to-chop-bostons-christmas-tree-in-canada-bakers-council-bid-not-entirely-dead/
1273235550	20251109	202511	2025	2025.8466											CANGOVBUS	MARK CARNEY	CAN					GOV	BUS		1	010	010	01	1	0.0	5	1	5	2.89855072463768	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20251109094500	https://www.dnaindia.com/world/report-canada-unveils-new-immigration-plan-pm-mark-carney-welcomes-h-1b-visa-holders-3187485
1273235551	20251109	202511	2025	2025.8466											COP	POLICE						COP			1	042	042	04	1	1.9	5	1	5	0.23094688221709	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20251109094500	https://www.kivitv.com/news/local-news/in-your-neighborhood/ada-county/texas-man-says-hes-lucky-to-be-alive-after-car-crash-on-boise-connector
1273235552	20251109	202511	2025	2025.8466											CVL	COMMUNITY						CVL			1	051	051	05	1	3.4	10	1	10	8.00711743772242	0								4	Saigon, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	4	Saigon, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	20251109094500	https://en.vietnamplus.vn/culture-house-in-uk-connects-overseas-vietnamese-with-homeland-post332079.vnp
1273235553	20251109	202511	2025	2025.8466											CVL	RESIDENTS						CVL			1	051	051	05	1	3.4	10	1	10	3.38028169014085	0								4	Ministry Of Finance, Masqat, Oman	MU	MU06	23610	23.6134	58.5954	11346738	4	Ministry Of Finance, Masqat, Oman	MU	MU06	23610	23.6134	58.5954	11346738	20251109094500	https://www.muscatdaily.com/2025/11/09/oman-introduces-long-term-cultural-visas-for-foreigners/
