1273907273	20241113	202411	2024	2024.8575	IGOUNOREF	THE UN		UNO				IGO	REF		REF	REFUGEE						REF			1	012	012	01	1	-0.4	10	1	10	-6.79156908665105	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20251113021500	https://www.biometricupdate.com/202511/researcher-bemoans-shortfalls-in-ethiopias-child-birth-registration
1273907274	20251014	202510	2025	2025.7781	AFGINSTAL	TALIBAN	AFG	TAL				INS			PAK	ISLAMABAD	PAK								0	138	138	13	3	-7.0	8	1	8	-7.23725613593455	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20251113021500	https://foreignpolicy.com/2025/11/12/india-pakistan-blast-attack-terrorism-security/
1273907275	20251014	202510	2025	2025.7781	AFGINSTAL	TALIBAN	AFG	TAL				INS			PAK	ISLAMABAD	PAK								0	138	138	13	3	-7.0	2	1	2	-7.23725613593455	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20251113021500	https://foreignpolicy.com/2025/11/12/india-pakistan-blast-attack-terrorism-security/
1273907276	20251014	202510	2025	2025.7781	GOV	PRESIDENT						GOV			USA	WASHINGTON	USA								1	040	040	04	1	1.0	5	1	5	0.925925925925924	4	Gyeongju, Kyongsang-bukto, South Korea	KS	KS14	24982	35.8428	129.212	-710797	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20251113021500	https://www.scmp.com/week-asia/politics/article/3332562/will-japan-and-south-korea-join-aukus-co-develop-nuclear-submarines-us
1273907277	20251014	202510	2025	2025.7781	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	0.925925925925924	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20251113021500	https://www.scmp.com/week-asia/politics/article/3332562/will-japan-and-south-korea-join-aukus-co-develop-nuclear-submarines-us
1273907278	20251014	202510	2025	2025.7781	IRQ	IRAQI	IRQ								IRQELI	IRAQ	IRQ					ELI			0	110	110	11	3	-2.0	1	1	1	-0.26525198938992	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251113021500	https://www.firstpost.com/world/iraq-elections-pm-sudani-claims-victory-after-early-results-show-decisive-lead-13950173.html
1273907279	20251014	202510	2025	2025.7781	IRQ	IRAQI	IRQ								IRQGOVELI	NURI AL MALIKI	IRQ					GOV	ELI		0	110	110	11	3	-2.0	1	1	1	-0.26525198938992	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20251113021500	https://www.firstpost.com/world/iraq-elections-pm-sudani-claims-victory-after-early-results-show-decisive-lead-13950173.html
1273907280	20251014	202510	2025	2025.7781	IRQPTY	IRAQI	IRQ								IRQGOVELI	NURI AL MALIKI	IRQ					GOV	ELI		0	110	110	11	3	-2.0	2	1	2	-0.26525198938992	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20251113021500	https://www.firstpost.com/world/iraq-elections-pm-sudani-claims-victory-after-early-results-show-decisive-lead-13950173.html
1273907281	20251014	202510	2025	2025.7781	IRQPTY	IRAQ	IRQ								IRQGOVELI	NURI AL MALIKI	IRQ					GOV	ELI		0	110	110	11	3	-2.0	1	1	1	-0.26525198938992	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251113021500	https://www.firstpost.com/world/iraq-elections-pm-sudani-claims-victory-after-early-results-show-decisive-lead-13950173.html
1273907282	20251014	202510	2025	2025.7781	KOR	SOUTH KOREAN	KOR								USA	WASHINGTON	USA								1	040	040	04	1	1.0	1	1	1	0.925925925925924	4	Gyeongju, Kyongsang-bukto, South Korea	KS	KS14	24982	35.8428	129.212	-710797	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20251113021500	https://www.scmp.com/week-asia/politics/article/3332562/will-japan-and-south-korea-join-aukus-co-develop-nuclear-submarines-us
1273907283	20251014	202510	2025	2025.7781	KORGOV	SOUTH KOREA	KOR					GOV			USA	WASHINGTON	USA								1	040	040	04	1	1.0	1	1	1	0.925925925925924	4	Gyeongju, Kyongsang-bukto, South Korea	KS	KS14	24982	35.8428	129.212	-710797	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20251113021500	https://www.scmp.com/week-asia/politics/article/3332562/will-japan-and-south-korea-join-aukus-co-develop-nuclear-submarines-us
1273907284	20251014	202510	2025	2025.7781	LEGJUD	SENATE						LEG	JUD												1	084	084	08	2	7.0	6	1	6	-7.12694877505568	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251113021500	https://itemlive.com/2025/11/12/editorial-arctic-frost-is-the-biggest-scandal-youve-never-heard-of/
1273907285	20251014	202510	2025	2025.7781	LEGJUD	SENATE						LEG	JUD		USA	UNITED STATES	USA								1	084	084	08	2	7.0	2	1	2	-7.12694877505568	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20251113021500	https://itemlive.com/2025/11/12/editorial-arctic-frost-is-the-biggest-scandal-youve-never-heard-of/
1273907286	20251014	202510	2025	2025.7781	LEGJUD	SENATE						LEG	JUD		USA	UNITED STATES	USA								1	084	084	08	2	7.0	2	1	2	-7.12694877505568	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251113021500	https://itemlive.com/2025/11/12/editorial-arctic-frost-is-the-biggest-scandal-youve-never-heard-of/
