1274198708	20241114	202411	2024	2024.8603											GOVOPP	GOVERNMENT						GOV	OPP		0	170	170	17	4	-7.0	10	1	10	-2.40073868882733	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20251114144500	https://www.dw.com/en/why-is-india-upping-forces-at-chokepoint-with-bangladesh/a-74745741
1274198709	20241114	202411	2024	2024.8603	FRA	PARIS	FRA																		0	010	010	01	1	0.0	1	1	1	2.72873194221508	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20251114144500	https://www.interviewmagazine.com/culture/nick-cave-and-jenny-holzer-at-the-obama-presidential-center
1274198710	20241114	202411	2024	2024.8603	PSE	PALESTINIAN	PSE								ISROPP	ISRAEL	ISR					OPP			0	173	173	17	4	-5.0	1	1	1	-0.83507306889353	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251114144500	https://www.keranews.org/education/2025-11-14/texas-committees-first-hearing-college-free-speech-charlie-kirk
1274198711	20241114	202411	2024	2024.8603	PSE	PALESTINIAN	PSE								ISROPP	ISRAEL	ISR					OPP			0	173	173	17	4	-5.0	1	1	1	-0.83507306889353	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251114144500	https://www.keranews.org/education/2025-11-14/texas-committees-first-hearing-college-free-speech-charlie-kirk
1274198712	20241114	202411	2024	2024.8603	USA	UNITED STATES	USA								OPP	DEMONSTRATOR						OPP			0	173	173	17	4	-5.0	4	1	4	-0.83507306889353	2	Texas, United States	US	USTX		31.106	-97.6475	TX	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251114144500	https://www.keranews.org/education/2025-11-14/texas-committees-first-hearing-college-free-speech-charlie-kirk
1274198713	20241114	202411	2024	2024.8603	USA	TEXAS	USA								PSEOPP	PALESTINIAN	PSE					OPP			0	173	173	17	4	-5.0	2	1	2	-0.83507306889353	2	Texas, United States	US	USTX		31.106	-97.6475	TX	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251114144500	https://www.keranews.org/education/2025-11-14/texas-committees-first-hearing-college-free-speech-charlie-kirk
1274198714	20251015	202510	2025	2025.7808											CAN	BRITISH COLUMBIA	CAN								0	057	057	05	1	8.0	1	1	1	6.93739424703892	0								1	United Kingdom	UK	UK		54	-4	UK	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198715	20251015	202510	2025	2025.7808	BUS	BOSS						BUS													1	013	013	01	1	0.4	5	1	5	3.15985130111524	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20251114144500	https://www.liverpoolecho.co.uk/whats-on/food-drink-news/customers-rush-bm-stores-celebrations-32875009
1274198716	20251015	202510	2025	2025.7808	CAN	BRITISH COLUMBIA	CAN																		0	057	057	05	1	8.0	1	1	1	6.93739424703892	1	United Kingdom	UK	UK		54	-4	UK	0								4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198717	20251015	202510	2025	2025.7808	CAN	CANADA	CAN								GBR	BRITISH	GBR								0	057	057	05	1	8.0	1	1	1	6.93739424703892	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198718	20251015	202510	2025	2025.7808	CAN	CANADA	CAN								GBR	UNITED KINGDOM	GBR								0	057	057	05	1	8.0	3	1	3	6.93739424703892	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	1	United Kingdom	UK	UK		54	-4	UK	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
