Actor1CountryCode,event_count,avg_tone
NPL,14556,-3.6726
IND,568,-3.2543
CHN,368,-0.6106
USA,285,-2.3158
ISR,277,-4.3678
BGD,242,-1.7925
PSE,105,-4.2828
PAK,98,-2.3037
GBR,92,-1.574
JPN,86,-3.1485
AUS,84,-3.2114
LKA,81,-2.4516
SDN,74,-6.2214
IDN,74,-3.3311
BTN,59,1.6426
DEU,57,-1.8757
FRA,52,-4.8244
KOR,47,-2.7228
RUS,44,-2.5782
QAT,38,-0.7115
MDV,31,-0.3692
NGA,30,-7.3841
FIN,28,-7.8176
THA,26,-2.1086
PHL,26,-3.9402
ARE,25,-6.704
ITA,24,-3.0341
NOR,23,-8.0473
MDG,23,-7.4169
EUR,21,0.6263
SAS,21,-1.464
CAN,20,-1.7302
SGP,20,-1.0136
MAR,17,-6.8817
IRN,17,-0.5732
CHE,17,3.3571
IRL,16,-0.7906
BDI,14,6.6276
MUS,14,0.0774
NZL,13,-1.3298
AFG,11,-0.5876
AFR,11,-2.6897
MMR,11,-0.9697
ARM,10,1.6913
TUR,10,-8.6081
VNM,10,-0.3611
MYS,10,-1.7434
KEN,9,-4.2484
POL,8,1.3598
MNG,8,-1.8412
TZA,8,7.07
UKR,7,-4.0502
CZE,7,-4.2364
LAO,6,0.8513
AGO,6,2.4896
EGY,6,-1.9276
BRA,5,0.1817
TWN,5,-1.0329
BEL,5,1.9121
TMP,5,-6.4351
UZB,5,-1.9127
GHA,5,2.4843
ASA,4,-4.3279
GRC,4,-3.9056
ETH,4,7.07
SEN,4,4.9229
KNA,4,-0.5999
IRQ,3,-1.1755
VEN,3,2.4896
CYP,3,-5.6604
KHM,3,0.2296
HTI,3,-5.922
SRB,3,-0.7353
NMR,3,5.5529
PER,3,-8.2676
KAZ,3,1.43
ISL,3,2.8101
JOR,3,-2.0971
CUB,2,-5.906
LBY,2,-8.8553
TKM,2,0.3868
OMN,2,-3.4382
SLB,2,-0.0883
VAT,2,1.8703
YEM,2,-1.9788
RWA,2,2.0816
WST,2,0.5013
ESP,2,5.1945
CRB,2,-4.5761
KWT,2,-3.5413
ARG,2,8.0
MLT,1,-9.5618
LBN,1,-5.9061
SAU,1,-2.9925
AZE,1,4.8159
DNK,1,0.0983
